EntryID,Code
&=arms-cross,J_01_098
&=clap,J_02_076
&=raise-hand,H_02_48
&=sigh,H_03_86
1_dollar,C_02_025
5_dollars,B_01_062
8_hour,C_02_055
9_oclock,C_02_080
A-LINE_BOB,K_03_127
a_little_bit,H_03_25
abbreviate(short),G_01_40
about_1,B_02_072
about_2,B_02_003
absolutely_nothing,J_01_027
accent,E_01_73
accept,H_02_42
access,H_02_86
accident,B_02_059
accomplish,C_02_085
accordion,F_02_48
accountant,A_03_044
acquire,H_01_34
act,B_02_038
action,C_01_026
actor,A_03_047
add,E_02_30
addict,H_02_73
address,D_01_016
admire,J_03_049
admit,J_02_062
adopt,J_03_014
adult,C_03_008
advantage,H_03_59
advertise,J_03_015
africa,A_02_082
after,B_02_030
afternoon,J_01_040
again,J_02_013
against,H_03_3
age,B_02_071
agency,H_01_44
agreement,C_02_078
airplane,D_03_068
alarm,C_01_085
alaska,H_02_87
alcohol,E_03_12
align,H_02_22
all,C_03_088
all_day,H_02_93
all_gone,J_03_021
all_of_sudden,H_01_96
all_over,J_02_064
all_over_body,H_03_78
all_together,J_01_044
all_way,H_01_84
allergy,G_03_72
alone,D_02_024
alone_2,H_01_1
alphabet,B_02_024
alright,J_03_025
always,J_03_076
amazing,D_02_093
america,C_02_006
analyze,G_02_75
and,B_03_072
angel,A_03_085
angry,B_01_070
animal,B_03_002
announce,C_01_086
answer,E_03_65
antlers,F_01_27
any,G_01_16
anyone,H_01_59
apart,E_02_33
appear,C_03_064
apple,A_03_054
appointment,C_01_088
april,H_02_70
archeology,G_03_60
area,H_02_15
argue,F_03_72
arizona,J_03_022
arm,C_03_043
ARM_2,K_01_095
ARM_3,K_02_002
army,B_01_059
arrest_1,H_03_74
ARREST_2,K_01_023
ARREST_3,K_03_036
arrive,D_01_073
art,C_01_075
article,J_02_041
articulate_sign,J_01_014
asia,A_01_078
ask,B_02_023
assembly,J_03_096
assign,H_02_36
assist,J_03_093
assistant,F_03_76
astronaut,F_02_13
at,J_01_055
athlete,J_03_068
ATLANTA,K_03_107
attention,A_03_089
attitude,J_03_091
audience,F_01_72
auditorium,F_02_21
aunt,E_02_27
australia,J_03_035
autism,F_03_11
autism_2,K_01_040
automatic,J_01_048
average,G_03_50
avoid,E_01_40
awake,G_01_78
