Code,EntryID,SignFrequency(M),Iconicity(M),MinimalNeighborhoodDensity,SignType,LexicalClass
J_01_098,&=arms-cross,3.467,6.520,0,0,0
J_02_076,&=clap,3.867,6.667,0,0,0
H_02_48,&=raise-hand,2.280,0,0,0,0
H_03_86,&=sigh,5.154,6.375,0,0,0
C_02_025,1_dollar,3.034,1.074,739,4,5
B_01_062,5_dollars,5.120,5.481,923,2,5
C_02_055,8_hour,4.267,2.654,392,4,2
C_02_080,9_oclock,4.133,2.741,733,2,2
K_03_127,A-LINE_BOB,0,0,0,5,0
H_03_25,a_little_bit,2.963,2.833,0,2,6
G_01_40,abbreviate(short),5.444,1.889,0,3,1
B_02_072,about_1,5.480,2.067,737,3,7
B_02_003,about_2,3.522,2.133,735,4,7
J_01_027,absolutely_nothing,2.957,1.600,0,2,0
E_01_73,accent,3.094,1.917,0,2,5
H_02_42,accept,5.500,2.739,0,5,1
H_02_86,access,5.036,2.565,0,4,5
B_02_059,accident,4.120,3.300,870,5,1
C_02_085,accomplish,4.467,1.963,875,5,1
F_02_48,accordion,1.737,6.065,0,5,5
A_03_044,accountant,3.240,2.476,525,4,5
H_01_34,acquire,5.250,2.296,0,5,1
B_02_038,act,4.280,1.600,732,5,1
C_01_026,action,4.533,2.200,711,5,5
A_03_047,actor,4.440,1.524,515,5,5
E_02_30,add,5.188,2.900,0,3,1
H_02_73,addict,4.250,2.391,0,2,4
D_01_016,address,4.889,1.486,737,5,5
J_03_049,admire,4.483,1.636,0,5,0
J_02_062,admit,4.633,3.792,0,2,0
J_03_014,adopt,4.414,1.455,0,5,0
C_03_008,adult,4.600,2.229,803,5,5
H_03_59,advantage,4.714,1.375,0,4,1
J_03_015,advertise,4.207,1.955,0,3,0
A_02_082,africa,3.667,2.100,920,2,5
B_02_030,after,3.880,3.200,829,3,7
J_01_040,afternoon,5.800,1.560,0,2,0
J_02_013,again,6.067,2.000,0,3,0
H_03_3,against,4.429,3.750,0,3,1
B_02_071,age,5.400,1.700,802,2,5
H_01_44,agency,4.000,2.036,0,5,5
C_02_078,agreement,5.033,3.148,751,2,5
D_03_068,airplane,4.808,1.773,889,2,5
C_01_085,alarm,4.400,1.667,797,4,5
H_02_87,alaska,2.556,1.174,0,2,3
E_03_12,alcohol,5.333,1.531,0,3,5
H_02_22,align,4.750,1.913,0,5,1
C_03_088,all,5.300,2.800,829,3,7
H_02_93,all_day,5.464,3.304,0,2,6
J_03_021,all_gone,4.690,2.682,0,2,0
H_01_96,all_of_sudden,4.370,4.800,0,2,6
J_02_064,all_over,4.433,4.583,0,2,0
H_03_78,all_over_body,3.407,6.208,0,5,6
J_01_044,all_together,4.567,4.000,0,5,0
H_01_84,all_way,4.083,3.792,0,2,6
G_03_72,allergy,2.067,1.550,0,5,5
D_02_024,alone,3.963,2.161,877,2,4
H_01_1,alone_2,4.429,3.560,0,2,6
B_02_024,alphabet,3.880,2.633,833,2,5
J_03_025,alright,5.310,1.909,0,3,0
