EntryID,LemmaID,Code,HandshapeImage,HandshapeImage : URL
1_dollar,1_dollar,C_02_025,"<img src=""https://aslcdi.website/images/handshape_images/c.png"" />",
5_dollars,5_dollars,B_01_062,"<img src=""https://aslcdi.website/images/handshape_images/5.png"" />",
8_hour,8_hour,C_02_055,"<img src=""https://aslcdi.website/images/handshape_images/8.png"" />",
9_oclock,9_oclock,C_02_080,"<img src=""https://aslcdi.website/images/handshape_images/flat_1.png"" />",
a-line_bob,a-line_bob,K_03_127,"<img src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",
a_little_bit,a_little_bit,H_03_025,"<img src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />",
abbreviate,abbreviate,G_01_040,"<img src=""https://aslcdi.website/images/handshape_images/h.png"" />",
about_1,about,B_02_072,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
about_2,about,B_02_003,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
absolutely_nothing,absolutely_nothing,J_01_027,"<img src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />",
accent,accent,E_01_073,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
accept,accept,H_02_042,"<img src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />",
access,access,H_02_086,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
accident,accident,B_02_059,"<img src=""https://aslcdi.website/images/handshape_images/5.png"" />",
accomplish,accomplish,C_02_085,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
accordion,accordion,F_02_048,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
accountant,accountant,A_03_044,"<img src=""https://aslcdi.website/images/handshape_images/f.png"" />",
acquire,acquire,H_01_034,"<img src=""https://aslcdi.website/images/handshape_images/8.png"" />",
act,act,B_02_038,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
action,action,C_01_026,"<img src=""https://aslcdi.website/images/handshape_images/c.png"" />",
actor,actor,A_03_047,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
add,add,E_02_030,"<img src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />",
addict,addict,H_02_073,"<img src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />",
address,address,D_01_016,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
admire,admire,J_03_049,"<img src=""https://aslcdi.website/images/handshape_images/flat_v.png"" />",
admit,admit,J_02_062,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
adopt,adopt,J_03_014,"<img src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />",
adult,adult,C_03_008,"<img src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",
advantage,advantage,H_03_059,"<img src=""https://aslcdi.website/images/handshape_images/open_8.png"" />",
advertise,advertise,J_03_015,"<img src=""https://aslcdi.website/images/handshape_images/s.png"" />",
africa,africa,A_02_082,"<img src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />",
after,after,B_02_030,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
afternoon,afternoon,J_01_040,"<img src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",
again,again,J_02_013,"<img src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",
against,against,H_03_003,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
age,age,B_02_071,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
agency,agency,H_01_044,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
agreement,agreement,C_02_078,"<img src=""https://aslcdi.website/images/handshape_images/1.png"" />",
airplane,airplane,D_03_068,"<img src=""https://aslcdi.website/images/handshape_images/ily.png"" />",
alarm,alarm,C_01_085,"<img src=""https://aslcdi.website/images/handshape_images/d.png"" />",
alaska,alaska,H_02_087,"<img src=""https://aslcdi.website/images/handshape_images/a.png"" />",
alcohol,alcohol,E_03_012,"<img src=""https://aslcdi.website/images/handshape_images/flat_horns.png"" />",
align,align,H_02_022,"<img src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",
all,all,C_03_088,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
all_day,all_day,H_02_093,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
all_gone,all_gone,J_03_021,"<img src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",
all_of_sudden,all_of_sudden,H_01_096,"<img src=""https://aslcdi.website/images/handshape_images/o.png"" />",
all_over,all_over,J_02_064,"<img src=""https://aslcdi.website/images/handshape_images/5.png"" />",
all_over_body,all_over_body,H_03_078,"<img src=""https://aslcdi.website/images/handshape_images/5.png"" />",
