EntryID,LemmaID,Code,Batch,List,Item,YouTube Video,VimeoVideoHTML,VimeoVideo,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),InCDI,CDI Semantic Category,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFreq(Z-Nonnative),SignFrequency(N-Nonnative),PercentGlossAgreement(Nonnative),PercentUnknown(Nonnative),DominantTranslation,Transparency M,Transparency SD,Transparency Z,H index,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,PhonotacticProbability,Iconicity(Z),Iconicity(M),Iconicity(SD),Iconicity(N),Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankSemanticField,SignBankID,Neighborhood Density
1_dollar,1_dollar,C_02_025,C,2.0,25.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TDfhj5BLyqQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345587917?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345587917,3.034,1.5,-0.728,29,0.0,2.944,1.474,-0.843,18,0.0,,,,,Noun,467.0,1101.0,634.0,1668.0,No,,2.1,1.45,30.0,-0.42,2.29,1.49,21.0,-0.37,2.0,Arbitrary,0,0,0,1,c,0,imrp,Curved,1.0,0.0,,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerBack,HandAway,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,1.6,-0.54,12,,0.083,,,,,,0.175,0.25,0.019,0.155,0.457,0.449,0.225,0.209,0.446,0.622,0.602,0.0,0.684,0.657,0.836,5.787000000000001,-0.82,1.074,0.267,27.0,383,0,DOLLAR,"bill, cash, dollar, money",1_DOLLAR,None,1268.0,0
5_dollars,5_dollars,B_01_062,B,1.0,62.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ys0QCfNZWZc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/344399314?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/344399314,5.12,1.716,0.302,25,0.0,5.2139999999999995,1.847,0.36,14,0.0,,,,,Noun,434.0,767.0,334.0,1468.0,No,,3.1,1.4,31.0,0.09,2.91,1.31,22.0,0.04,1.0,Perceptual,1,0,0,1,5,0,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,OneHanded,None,0,Neutral,Neutral,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.61,0.23,11,,0.0,,4.32,1.49,0.17,2.16,0.392,0.363,0.363,0.0,0.153,0.449,0.409,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.39799999999999996,0.878,0.684,0.657,0.16399999999999998,6.632999999999999,1.308,5.481,1.5030000000000001,27.0,190,4,FIVE-DOLLARS,"dollar, five dollars, money",5_DOLLAR,Number,2436.0,5
8_hour,8_hour,C_02_055,C,2.0,55.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/89tWpIF7QGc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345588916?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345588916,4.2669999999999995,1.574,-0.025,30,0.0,4.444,1.723,-0.031,18,0.0,,,,,Number,501.0,1235.0,734.0,2035.0,No,,2.53,1.85,30.0,-0.19,2.52,1.78,21.0,-0.27,4.0,Arbitrary,1,0,0,1,1,0,m,Curved,0.0,,,Open,1.0,AsymmetricalDifferentHandshape,Circular,0,Hand,FingerFront,Palm,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.35,-0.02,12,,0.0,,2.84,1.57,-0.69,2.8,0.175,0.25,0.015,0.025,0.076,0.045,0.225,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.316,0.657,0.836,4.588,-0.10099999999999999,2.654,1.6230000000000002,26.0,129,0,EIGHT-HOURSneut,"eight hours, 8 hours, hour, time",NUMBER-HOURS,Number,2437.0,0
9_oclock,9_oclock,C_02_080,C,2.0,80.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7M4uTw57xCY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345589804?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345589804,4.133,1.5919999999999999,-0.122,30,0.0,4.7780000000000005,1.4780000000000002,0.129,18,0.0,,,,,Number,534.0,1268.0,734.0,2135.0,No,,3.23,2.03,30.0,0.14,3.24,2.17,21.0,0.06,1.0,Arbitrary,1,0,1,2,flat_1,0,i,Flat,0.0,,,Closed,0.0,OneHanded,Straight,0,Arm,WristBack,,1,,0,f,1.0,i,Curved,0.0,,,Open,1.0,OneHanded,Straight,,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,1.27,-0.5,12,,0.0,,3.8,1.99,0.3,1.69,0.392,0.026000000000000002,0.004,0.0,0.457,0.261,0.162,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.836,5.131,0.034,2.741,1.43,27.0,48,4,OCLOCK-NINE,"9:00, 9 o'clock, nine o'clock, o'clock, time",OCLOCK-NUMBER,None,2857.0,2
a-line_bob,a-line_bob,K_03_127,,,,,"<iframe src=https://player.vimeo.com/video/342308099?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/342308099,4.273,1.804,0.03,25,0.12,4.5,1.069,0.349,11,0.273,,,BOB HAIRCUT,,Noun,634.0,1301.0,667.0,1935.0,No,,,,,,,,,,2.0,,0,0,0,1,flat_b,1,imrp,Flat,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Curved,0,Head,HeadAway,HeadAway,0,flat_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,2.14,-0.15,14,,0.0,,,,,,0.345,0.266,0.066,0.17800000000000002,0.233,0.449,0.162,0.7909999999999999,0.5539999999999999,0.37799999999999995,0.602,0.878,0.684,0.657,0.16399999999999998,6.406000000000001,-0.047,3.7689999999999997,1.925,26.0,158,4,,,,,,3
a_little_bit,a_little_bit,H_03_025,H,3.0,25.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6aQFBPeVSpc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346887448?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346887448,2.963,2.028,-0.762,28,0.036000000000000004,3.0,2.309,-0.731,14,0.071,,,a little bit,,Adjective,434.0,1101.0,667.0,1568.0,No,,,,,,,,,,2.0,Arbitrary,0,0,0,1,bent_1,1,t,,1.0,,,Closed,,OneHanded,None,1,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,1.82,-0.79,14,,0.0,,,,,,0.392,0.363,0.363,0.0,0.153,0.057,0.0,0.209,0.446,0.37799999999999995,0.0,0.0,0.0,0.34299999999999997,0.836,3.54,-0.195,2.833,1.659,24.0,144,3,A-LITTLE-BIT,"a little bit, little, few, minimal, scarce",A-LITTLE-BIT,Attribute,0.0,3
abbreviate,abbreviate,G_01_040,G1,1.0,40.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_wkE95JCdTQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346610443?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346610443,5.444,1.528,0.669,27,0.0,5.25,1.545,0.5660000000000001,12,0.0,0.63,0.75,,0.301,Verb,467.0,1068.0,601.0,1802.0,No,,,,,,,,,,2.0,Arbitrary,0,0,0,1,h,1,im,FullyOpen,0.0,0.0,0.0,Closed,0.0,DominanceViolation,Straight,0,Hand,FingerRadial,HandAway,1,DominanceConditionViolation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,1.55,0.75,15,0.5329999999999999,0.0,short,,,,,0.023,0.25,0.035,0.155,0.457,0.14,0.409,0.7909999999999999,0.5539999999999999,0.622,0.602,0.878,0.684,0.34299999999999997,0.16399999999999998,6.107,-0.764,1.889,1.219,27.0,368,1,SHORT,"brief, for a short time, quick, short, shortly",SHORT,Attribute,252.0,1
about_1,about,B_02_072,B,2.0,72.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/3DE8PSJzl7A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345555837?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345555837,5.48,1.475,0.523,25,0.0,5.5,1.787,0.518,14,0.0,,,,5.268,Minor,367.0,1068.0,701.0,1869.0,No,,1.36,0.8,31.0,-0.81,1.36,0.85,22.0,-0.77,2.0,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0.0,,,Closed,0.0,AsymmetricalSameHandshape,Circular,0,Hand,HandAway,FingerTip,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,1.04,0.53,11,,0.0,,3.68,1.46,-0.15,2.77,0.059000000000000004,0.25,0.035,0.006,0.076,0.261,0.409,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.16399999999999998,4.256,-0.324,2.0669999999999997,1.484,30.0,129,2,ABOUTix,"about, regarding, with reference to",ABOUT,Locative,2043.0,1
about_2,about,B_02_003,B,2.0,3.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6ZSNX5aiJDs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/345536316?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/345536316,3.522,1.534,-0.762,23,0.08,3.417,1.564,-0.794,12,0.14300000000000002,,,,5.268,Minor,567.0,1502.0,934.0,2269.0,Yes,Prepositions and Locations,1.9,1.27,31.0,-0.55,1.86,1.15,22.0,-0.56,3.0,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0.0,,,Closed,0.0,AsymmetricalDifferentHandshape,Circular,0,Hand,HandAway,FingerTip,1,O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,35.0,3.64,1.57,-0.73,11,,0.0,,3.68,1.8,-0.09,2.87,0.175,0.25,0.035,0.006,0.076,0.261,0.409,0.7909999999999999,0.5539999999999999,0.622,0.0,0.0,0.684,0.34299999999999997,0.16399999999999998,4.371,-0.309,2.133,1.2790000000000001,30.0,129,0,ABOUTb,"about, regarding, with reference to",ABOUT,Locative,2042.0,0
absolutely_nothing,absolutely_nothing,J_01_027,J,1.0,27.0,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/VKxPTJe9KDk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>","<iframe src=https://player.vimeo.com/video/346914407?title=0&byline=0&portrait=0 width=""300"" height=""220"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",https://player.vimeo.com/video/346914407,2.957,1.821,-0.6859999999999999,30,0.233,2.833,1.946,-0.9059999999999999,15,0.2,0.409,0.455,absolutely nothing,,Number,534.0,1001.0,467.0,1502.0,No,,,,,,,,,,1.0,Arbitrary,1,0,0,1,flat_o,0,imrp,Flat,0.0,0.0,0.0,Open,1.0,OneHanded,None,0,Head,Mouth,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,1.76,-0.44,15,0.364,0.267,none,,,,,0.392,0.266,0.046,0.0,0.153,0.449,0.162,0.7909999999999999,0.5539999999999999,0.622,0.602,0.878,0.316,0.657,0.836,6.723,-0.743,1.5,1.1420000000000001,24.0,232,3,ABSOLUTELY-NOTHING,"absolutely nothing, all out, depleted, empty, none, nothing, zilch",ABSOLUTELY-NOTHING,Attribute,2044.0,4
