VariableName(CSV&OSF),Website variable name,Sign Data and Filter Group,Include in filters,Include in sign data,SectionOrder,ItemOrder,Filter menu outer description info,VariableDefinition,KnackVariableName
EntryID,Entry ID,English Translation,0,1,1,1,Sign identifying information,An English word that uniquely identifies each entry in the data set,EntryID
LemmaID,Lemma ID,English Translation,0,1,1,2,Sign identifying information,An English word that uniquely identifies each lemma collapsing across phonological and inflectional variants,LemmaID
Code,Code (survey),Code,0,1,2,3,Sign identifying information,A code that uniquely identifies each video in the database,Code
Batch,Code (survey),Code,0,1,2,4,Sign identifying information,A code that uniquely identifies each video in the database,Batch
List,Code (survey),Code,0,0,2,5,Sign identifying information,A code that uniquely identifies each video in the database,List
Item,Code (survey),Code,0,0,2,6,Sign identifying information,A code that uniquely identifies each video in the database,Item
EnglishWF(lg10),English Word Frequency,Frequency,0,1,3,7,The frequency of the sign and/or its English translation,English based word frequency retrieved from SubtlexUS (Log10 frequency per million),SubtLexUSLog10WF
SignFrequency(M),Frequency,Frequency,1,1,3,8,The frequency of the sign and/or its English translation,"Mean subjective frequency rating for all deaf ASL signers (1 = very infrequent, 7=very frequent)",SignFrequency(M)
SignFrequency(SD),Frequency SD,Frequency,0,1,3,9,The frequency of the sign and/or its English translation,Mean subjective frequency rating standard deviation (all deaf ASL signers),SignFrequency(SD)
SignFrequency(Z),Frequency Z,Frequency,0,1,3,10,The frequency of the sign and/or its English translation,Mean standardized subjective frequency rating (Z-score) (all deaf ASL signers),SignFrequency(Z)
SignFrequency(N),Frequency N,Frequency,0,1,3,11,The frequency of the sign and/or its English translation,Number of deaf ASL signers on which Sign Frequency M (all) is based,SignFrequency(N)
Unknown,Sign Unknown,Frequency,1,1 (if it isn't NA),3,12,The frequency of the sign and/or its English translation,Proportion of deaf signing participants who did not know or recognize the sign (out of all deaf ASL participants),PercentUnknown
SignFrequency(M-Native),Frequency (Native),Frequency,0,1,3,13,The frequency of the sign and/or its English translation,"Mean subjective frequency rating for deaf native ASL signers (1 = very infrequent, 7=very frequent)",SignFrequency(M-Native)
SignFrequency(SD-Native),Frequency SD (Native) ,Frequency,0,1,3,14,The frequency of the sign and/or its English translation,Mean subjective frequency rating standard deviation (deaf native ASL signers),SignFrequency(SD-Native)
SignFreq(Z-native),Frequency Z (Native) ,Frequency,0,1,3,15,The frequency of the sign and/or its English translation,Mean standardized subjective frequency rating (Z-score) (deaf native ASL signers) ,SignFreq(Z-native)
SignFrequency(N-Native),Frequency N (Native) ,Frequency,0,1,3,16,The frequency of the sign and/or its English translation,Number of participants on which Sign Frequency M (native) is based,SignFrequency(N-Native)
Unknown(Native),Sign Unknown (Native) (proportion),Frequency,0,1,3,17,The frequency of the sign and/or its English translation,Percentage of participants who did not know the sign (deaf native ASL signers),PercentUnknown(Native)
SignFrequency(M-Nonnative),Frequency (Nonnative),Frequency,0,1,3,18,The frequency of the sign and/or its English translation,"Mean subjective frequency rating for deaf non-native ASL signers (1 = very infrequent, 7=very frequent)",SignFrequency(M-Nonnative)
SignFrequency(SD-Nonnative),Frequency SD (Nonnative),Frequency,0,1,3,19,The frequency of the sign and/or its English translation,Mean subjective frequency rating standard deviation (deaf non-native ASL signers),SignFrequency(SD-Nonnative)
SignFrequency(N-Nonnative),Frequency Z (Nonnative),Frequency,0,1,3,20,The frequency of the sign and/or its English translation,Mean standardized subjective frequency rating (Z-score) (deaf non-native ASL signers) ,SignFrequency(N-Nonnative)
SignFreq(Z-Nonnative),Frequency N (Nonnative),Frequency,0,1,3,21,The frequency of the sign and/or its English translation,Number of participants on which Sign Frequency M (non-native) is based,SignFreq(Z-Nonnative)
Unknown(Nonnative),Sign Unknown (Nonnative) (proportion),Frequency,0,1,3,22,The frequency of the sign and/or its English translation,Percentage of participants who did not know the sign (deaf non-native ASL signers),PercentUnknown(Nonnative)
DominantTranslation,Dominant Translation,Frequency,0,1,3,23,The frequency of the sign and/or its English translation,The most common dominant English translation provided by deaf ASL signers,DominantTranslation
DominantTranslationAgreement,Dominant Translation Agreement (proportion),Frequency,1,1,3,24,The frequency of the sign and/or its English translation,Proportion agreement with the dominant English gloss among all deaf ASL signers ,PercentGlossAgreement
DominantTranslationAgreement(Native),Dominant Translation Agreement (Native) (proportion),Frequency,0,1,3,25,The frequency of the sign and/or its English translation,Proportion agreement with the dominant English gloss among deaf native ASL signers ,PercentGlossAgreement(Native)
DominantTranslationAgreement(Nonnative),Dominant Translation Agreement (Nonnative) (proportion),Frequency,0,1,3,26,The frequency of the sign and/or its English translation,Proportion agreement with the dominant English gloss among deaf non-native ASL signers ,PercentGlossAgreement(Nonnative)
NondominantTranslations,Nondominant Translations,Frequency,0,1,3,27,The frequency of the sign and/or its English translation,"The other English words provided by the signers (as first choice) for a given item that were not the dominant, most frequent word.",NondominantTranslation
