EntryID,LemmaID,Code,Batch,List,Item,EnglishWF(lg10),SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),Unknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),Unknown(Native),SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFrequency(N-Nonnative),SignFreq(Z-Nonnative),Unknown(Nonnative),DominantTranslation,DominantTranslationAgreement,DominantTranslationAgreement(Native),DominantTranslationAgreement(Nonnative),NondominantTranslations,Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,IconicityType,D.Iconicity(M),D.Iconicity(SD),D.Iconicity(N),D.Iconicity(Z),D.Iconicity(M-native),D.Iconicity(SD-native),D.Iconicity(Z-native),D.Iconicity(N-native),GuessConsistency,GuessAccuracy,Transparency(M),Transparency SD,Transparency Z,LexicalClass,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,SignOnset(ms),SignOffset(ms),SignDuration(ms),ClipDuration(ms),Handshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,RepeatedMovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,RepeatedMovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,RepeatedMovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,RepeatedMovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0,PhonotacticProbability,Phonological Complexity,SignBankAnnotationID,SignBankEnglishTranslations,SignBankLemmaID,SignBankSemanticField,SignBankReferenceID,InCDI,CDISemanticCategory,bglm_aoa,empirical_aoa
tree,tree,A_01_002,A,1,2,3.521,5.143,2.081,0.621,21,0,5.167,2.167,0.696,12,0,5.25,1.585,20,0.551,0,,1,1,1,,4.232,1.731,0.749,138,,Perceptual,6.32,1.14,31,1.58,6.58,0.96,1.77,19,,,,,,Noun,0,0,0,1,300,801,501,1034,5,imrp,FullyOpen,0,1,0,Open,0,OneHanded,None,1,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153,0.449,0.409,0.791,0.446,0.378,0.398,0.878,0.684,0.657,0.164,4,190,0.147,1,TREE,"forest, nature, plant, tree, woods",TREE,None,342,Yes,Outside Things and Places to Go,22,14
night,night,A_01_003,A,1,3,4.645,6.032,1.516,1.068,31,0,6.111,1.568,1.124,18,0,5.923,1.498,13,0.989,0,,,,,,1.919,1.479,-0.592,37,,Arbitrary,2.19,1.3,31,-0.58,1.74,1.05,-0.76,19,,,,,,Noun,0,0,0,1,367,1368,1001,1401,flat_b,imrp,Flat,0,0,0,Open,0,AsymmetricalSameHandshape,Straight,1,Hand,PalmBack,NA,1,flat_b,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.25,0.024,0,0.457,0.449,0.162,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,5,391,0.099,1,NIGHT,"night, evening",NIGHT,None,199,Yes,Signs About Time,31,18
hamburger,hamburger,A_01_004,A,1,4,2.6,4.429,1.72,0.232,21,0,4.167,1.899,0.15,12,0,4.65,1.531,20,0.321,0,,,,,,3.714,1.633,0.229,140,,Arbitrary,3.9,1.47,31,0.3,3.32,1.29,0.05,19,,,,,,Noun,0,0,1,2,67,1001,934,1235,c,imrp,Curved,0,0,0,Open,0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,c,0,o,imrp,Curved,0,0,0,Open,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,1,o,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457,0.449,0.225,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,11,488,0.821,2,HAMBURGER,"burger, hamburger, sandwich",HAMBURGER,None,1844,Yes,Food and Drink,32,28
nephew,nephew,A_01_005,A,1,5,2.928,2.621,1.72,-0.753,29,0.065,2,1.317,-1.043,16,0.111,3.385,1.895,13,-0.397,0,nephew,0.931,0.875,1,niece,1.108,0.315,-0.986,37,,Arbitrary,1.14,0.44,31,-1.13,1.11,0.47,-1.1,19,,,,,,Noun,1,0,0,1,334,801,467,1368,flat_n,im,Flat,0,0,0,Closed,1,OneHanded,None,1,Head,HeadAway,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.066,0,0.153,0.14,0.162,0.791,0.446,0.378,0.602,0.878,0.316,0.343,0.164,0,220,-0.505,2,NEPHEW,nephew,NEPHEW,People,3011,No,,,
castle,castle,A_01_008,A,1,8,3.041,1.579,0.838,-1.198,19,0.095,1.455,0.688,-1.253,11,0.083,1.895,1.487,20,-1.14,0.05,castle,1,1,1,,3.54,1.575,0.28,139,,Arbitrary,3.57,1.67,31,0.11,3.65,1.69,0.15,19,,,,,,Noun,0,0,0,1,267,1068,801,2169,curved_v,im,Curved,1,1,0,Closed,0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,1,curved_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457,0.14,0.225,0.209,0.446,0.622,0.398,0.878,0.684,0.343,0.836,1,453,0.226,2,CASTLE,"castle, palace",CASTLE,None,2471,No,Action Signs,,
humble,humble,A_01_009,A,1,9,2.7,3.2,1.031,-0.418,30,0,2.778,0.878,-0.599,18,0,3.833,0.937,13,-0.146,0.077,humble,1,1,1,,1.846,1.309,-0.63,39,,Arbitrary,2,1.29,31,-0.67,1.79,1.08,-0.71,19,,,,,,Adjective,0,0,1,2,367,1335,968,1802,1,i,FullyOpen,0,NA,NA,Closed,0,OneHanded,None,0,Head,Mouth,NA,1,NA,0,open_b,imrp,FullyOpen,0,0,0,Open,0,AsymmetricalSameHandshape,Curved,NA,Hand,HandAway,HandAway,0,open_b,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.046,0,0.153,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.836,47,290,-0.065,0,HUMBLE,"humble, humility, quiet",HUMBLE,Attribute,2940,No,,,
cup,cup,A_01_010,A,1,10,3.421,5.742,1.413,0.909,31,0,5.611,1.577,0.852,18,0,5.923,1.188,13,0.987,0,cup,1,1,1,,2.897,1.903,-0.127,39,,Arbitrary,6.13,1.18,31,1.44,6.11,1.29,1.45,19,,,,,,Noun,0,0,0,1,367,834,467,1134,c,imrp,Curved,0,0,0,Open,0,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,NA,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.077,0,0.457,0.449,0.225,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,8,383,0.22,2,CUP,"cup, glass, place cup",CUP,None,388,No,,,
english,english,A_01_011,A,1,11,3.577,4.645,1.496,0.326,31,0,4.389,1.378,0.234,18,0,5,1.633,13,0.453,0,,,,,,1.026,0.16,-1.027,39,,Arbitrary,1.13,0.43,31,-1.13,1.05,0.23,-1.11,19,,,,,,Noun,0,0,0,1,434,1068,634,1101,c,imrp,Curved,0,0,0,Open,0,AsymmetricalSameHandshape,Straight,1,Hand,PalmBack,NA,1,c,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.25,0.024,0,0.457,0.449,0.225,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,0,383,0.128,1,ENGLISH,"country, England, English",ENGLISH,None,1311,No,,,
eyeglasses,eyeglasses,A_01_012,A,1,12,1.544,3.905,1.221,0.329,21,0,3.583,1.165,0.371,12,0,4.55,1.468,20,0.284,0,,,,,,6.187,1.139,1.668,139,,NA,6.77,0.43,31,1.81,6.68,0.48,1.8,19,,,,,,Noun,0,0,0,1,367,901,534,1001,bent_l,i,Bent,0,NA,NA,Open,0,SymmetricalOrAlternating,Straight,1,Head,Eye,NA,1,bent_l,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.266,0.016,0,0.457,0.261,0.099,0.791,0.446,0.622,0,0,0.684,0.657,0.836,0,319,-0.116,1,EYEGLASSES,"eyeglasses, glasses, goggles",EYEGLASSES,None,468,No,,,
tie,tie,A_01_013,A,1,13,3.355,2.143,1.195,-0.751,21,0,2.083,0.669,-0.833,12,0,2.85,1.663,20,-0.66,0,,,,,,4.603,1.604,0.94,116,,NA,6.1,0.98,31,1.43,6.16,0.83,1.51,19,,,,,,Noun,0,0,0,1,367,1201,834,1268,flat_h,im,Flat,0,0,0,Closed,0,OneHanded,Curved,0,Body,Clavicle,TorsoMid,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.094,0.017,0.01,0.233,0.14,0.162,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.836,3,88,-0.053,3,NECKTIE,"clothing, necktie, tie",NECKTIE,None,3143,No,,,
