,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
0,C_02_025,1_dollar,3.034,1.074,0,1,5
1,B_01_062,5_dollars,5.12,5.481,4,4,5
2,C_02_055,8_hour,4.267,2.654,0,1,4
3,C_02_080,9_oclock,4.133,2.741,4,4,4
4,K_03_127,a-line_bob,4.273,3.769,4,5,5
5,H_03_025,a_little_bit,2.963,2.833,3,4,1
6,G_01_040,abbreviate,5.444,1.889,1,3,7
7,B_02_072,about_1,5.48,2.067,2,0,3
8,B_02_003,about_2,3.522,2.133,0,1,3
9,J_01_027,absolutely_nothing,2.957,1.5,3,4,4
10,E_01_073,accent,3.094,1.917,1,4,5
11,H_02_042,accept,5.5,2.739,1,5,7
12,H_02_086,access,5.0360000000000005,2.565,6,1,5
13,B_02_059,accident,4.12,3.3,1,5,7
14,C_02_085,accomplish,4.467,1.963,0,5,7
15,F_02_048,accordion,1.737,6.065,7,5,5
16,A_03_044,accountant,3.24,2.476,6,1,5
17,H_01_034,acquire,5.25,2.35,3,5,7
18,B_02_038,act,4.28,1.6,8,5,7
19,C_01_026,action,4.533,2.2,2,5,5
20,A_03_047,actor,4.44,1.524,8,5,5
21,E_02_030,add,5.188,2.9,0,3,7
22,H_02_073,addict,4.25,2.391,2,4,5
23,D_01_016,address,4.8889999999999985,1.486,5,5,5
24,J_03_049,admire,4.4830000000000005,1.652,0,5,7
25,J_02_062,admit,4.633,3.84,4,4,7
26,J_03_014,adopt,4.414,1.435,1,5,7
27,C_03_008,adult,4.6,2.229,2,5,5
28,H_03_059,advantage,4.714,1.375,7,1,1
29,J_03_015,advertise,4.207,1.913,0,0,7
30,A_02_082,africa,3.667,2.1,0,4,5
31,B_02_030,after,3.88,3.2,1,0,3
32,J_01_040,afternoon,5.8,1.4580000000000002,2,4,5
33,J_02_013,again,6.067,2.04,0,0,7
34,H_03_003,against,4.4289999999999985,3.75,17,0,1
35,B_02_071,age,5.4,1.7,1,4,5
36,H_01_044,agency,4.0,2.2,0,5,5
37,C_02_078,agreement,5.033,3.148,46,4,5
38,D_03_068,airplane,4.808,1.773,4,4,5
39,C_01_085,alarm,4.4,1.6669999999999998,4,1,5
40,H_02_087,alaska,2.556,1.1740000000000002,0,4,6
41,E_03_012,alcohol,5.332999999999998,1.531,0,3,5
42,H_02_022,align,4.75,1.913,6,5,7
43,C_03_088,all,5.3,2.8,3,0,3
44,H_02_093,all_day,5.464,3.304,23,4,2
45,J_03_021,all_gone,4.69,2.739,11,4,2
46,H_01_096,all_of_sudden,4.37,4.8,1,4,2
47,J_02_064,all_over,4.433,4.64,7,4,2
48,H_03_078,all_over_body,3.407,6.207999999999998,9,5,3
49,J_01_044,all_together,4.567,4.0,2,5,2
50,H_01_084,all_way,4.083,4.0,7,4,2
51,D_02_024,alone,3.963,2.161,4,4,1
52,B_02_024,alphabet,3.88,2.633,6,4,5
53,J_03_025,alright,5.31,1.87,11,0,1
54,J_03_076,always,6.103,3.13,12,4,2
55,D_02_093,amazing,4.7780000000000005,3.097,4,4,1
56,C_02_006,america,4.5,1.5930000000000002,2,5,6
57,G_02_075,analyze,5.259,2.129,0,5,7
58,B_03_072,and,5.207999999999998,1.567,6,4,3
59,A_03_085,angel,3.167,4.667,1,5,5
60,B_01_070,angry,4.96,2.741,1,5,1
61,B_03_002,animal,5.4,1.6,5,5,5
62,C_01_086,announce,4.6,4.2,0,5,7
63,E_03_065,answer,5.067,2.7,1,5,7
64,F_01_027,antlers,3.5380000000000003,6.03,4,5,5
65,G_01_016,any,5.259,1.867,3,4,3
66,H_01_059,anyone,4.214,2.0,3,4,3
67,E_02_033,apart,4.7189999999999985,5.067,2,5,1
68,C_03_064,appear,4.9,2.361,1,1,7
69,A_03_054,apple,5.72,1.619,3,4,5
70,C_01_088,appointment,5.033,1.767,0,0,5
71,H_02_070,april,3.786,1.261,8,4,6
72,G_03_060,archeology,2.333,2.476,0,1,5
73,H_02_015,area,5.0710000000000015,2.783,0,1,5
74,F_03_072,argue,5.222,3.469,9,5,7
75,J_03_022,arizona,3.552,1.13,3,4,6
76,C_03_043,arm,2.9,6.5139999999999985,8,4,5
77,K_01_095,arm_2,3.2,5.96,9,4,5
78,K_02_002,arm_3,3.0,6.292000000000002,9,4,5
79,B_01_059,army,3.76,3.037,8,5,5
