,EntryID,LemmaID,Code,YouTube Video,VimeoVideo
0,1_dollar,1_dollar,C_02_025,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TDfhj5BLyqQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345587917
1,5_dollars,5_dollars,B_01_062,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ys0QCfNZWZc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/344399314
2,8_hour,8_hour,C_02_055,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/89tWpIF7QGc?rel=0&controls=0&showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345588916
3,9_oclock,9_oclock,C_02_080,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7M4uTw57xCY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345589804
4,a-line_bob,a-line_bob,K_03_127,,https://player.vimeo.com/video/342308099
5,a_little_bit,a_little_bit,H_03_025,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6aQFBPeVSpc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346887448
6,abbreviate,abbreviate,G_01_040,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_wkE95JCdTQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346610443
7,about_1,about,B_02_072,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/3DE8PSJzl7A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345555837
8,about_2,about,B_02_003,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6ZSNX5aiJDs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345536316
9,absolutely_nothing,absolutely_nothing,J_01_027,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/VKxPTJe9KDk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346914407
10,accent,accent,E_01_073,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/0ZVDgqxdF4U?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346053390
11,accept,accept,H_02_042,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/lF52G-pHFEk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346802940
12,access,access,H_02_086,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/p1dbHjX-IIE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346883874
13,accident,accident,B_02_059,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/uMiC6MgRxzg?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345555544
14,accomplish,accomplish,C_02_085,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/VjiH3tFdNOE?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345590018
15,accordion,accordion,F_02_048,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/AjArxbE7gPc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346495091
16,accountant,accountant,A_03_044,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/gCBfJJUAPqk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/344228699
17,acquire,acquire,H_01_034,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/4EB8q_Ms2GU?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346791147
18,act,act,B_02_038,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/KFScZThsE_o?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345537677
19,action,action,C_01_026,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/x-7Vhj7Yub0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345577398
20,actor,actor,A_03_047,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/A9NW9vQeGxY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/344240685
21,add,add,E_02_030,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/eXoqAy_wQq8?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346058080
22,addict,addict,H_02_073,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/2Zm6u6jjEEs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346883343
23,address,address,D_01_016,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ZRL0r6UEeeQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345803454
24,admire,admire,J_03_049,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/Zg9vZjUAznk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346972581
25,admit,admit,J_02_062,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/lEwwukCf51Y?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346940729
26,adopt,adopt,J_03_014,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TF1dChwLMIc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346970891
27,adult,adult,C_03_008,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/9oI6XxhDuD4?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/345797878
28,advantage,advantage,H_03_059,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/a-VlKNa9-h0?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346892374
29,advertise,advertise,J_03_015,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/42hlCdT1b3E?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://player.vimeo.com/video/346970927
