EntryID,LemmaID,Code,YouTube Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Transparency M,Transparency SD,Transparency Z,H index,SignBankID,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0.1,Neighborhood Density 2.0.1,DominantTranslation,SignBankID.1,Neighborhood Density
arms-cross,arms-cross,J_01_098,,3.467,2.177,-0.458,30,0,3.4,2.293,-0.511,15,0,,,6.583,0.929,1.6,24,crossing arms,,Gesture,501,1702,1201,2269,,,,,,,,,Pantomimic,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"arms-cross	",0,3,0,3,,"arms-cross	",0
raise-hand,raise-hand,H_02_048,,5.154,1.891,0.544,28,0,5.5,1.446,0.836,14,0.14,,,,,,,raising a hand,,Gesture,234,1335,1101,1869,,,,,,,,,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"raise-hand	",0,3,0,3,,"raise-hand	",0
sigh,sigh,H_03_086,,3.931,1.751,-0.196,30,0,3.267,1.624,-0.614,15,0,0,0,6.375,1.439,1.427,24,sighing,,Gesture,400,1735,1335,2536,,,,,,,,,Pantomimic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sigh	",0,3,0,3,,"sigh	",0
1_dollar,1_dollar,C_02_025,,3.034,1.5,-0.775,29,0,2.944,1.474,-0.922,18,0,,,1.074,2.025,-0.82,27,,,Noun,467,1101,634,1668,2.1,1.45,30,-0.42,2.29,1.49,21,-0.37,Arbitrary,0,0,0,1,c,0,imrp,Curved,1,0,,Open,0,AsymmetricalDifferentHandshape,Straight,Hand,FingerBack,HandAway,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,53,298,1245,1222,579,532,1215,1694,839,0,1756,1790,2276,,,,,DOLLAR,9,0,9,0,,DOLLAR,0
5_dollars,5_dollars,B_01_062,,5.12,1.716,0.302,25,0,5.214,1.847,0.36,14,0,,,5.481,2.016,1.308,27,,,Noun,434,767,334,1468,3.1,1.4,31,0.09,2.91,1.31,22,0.04,Perceptual,1,0,0,1,5,0,imrp,FullyOpen,0,1,0,Open,0,OneHanded,None,Neutral,Neutral,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,0,416,1222,1051,2010,1509,1030,554,1391,1756,1790,448,4,1,0,-0.2,FIVE-DOLLARS,8,4,8,4,,FIVE-DOLLARS,5
8_hour,8_hour,C_02_055,,4.267,1.574,-0.043,30,0,4.444,1.723,-0.041,18,0,,,2.654,2.025,-0.101,26,,,Number,501,1235,734,2035,2.53,1.85,30,-0.19,2.52,1.78,21,-0.27,Arbitrary,1,0,0,1,1,0,m,Curved,0,,,Open,1,AsymmetricalDifferentHandshape,Circular,Hand,FingerFront,Palm,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,41,48,208,123,579,2010,1509,1694,0,0,812,1790,2276,3,2,-1,-0.16,"EIGHT-HOURSneut	??",4,0,4,0,,"EIGHT-HOURSneut	??",0
9_oclock,9_oclock,C_02_080,,4.133,1.592,-0.126,30,0,4.778,1.478,0.139,18,0,,,2.741,2.025,0.034,27,,,Number,534,1268,734,2135,3.23,2.03,30,0.14,3.24,2.17,21,0.06,Arbitrary,1,0,1,2,flat_1,0,i,Flat,0,,,Closed,0,OneHanded,Straight,Arm,WristBack,,1,,0,f,1,i,Curved,0,,,Open,1,OneHanded,Straight,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,71,11,0,1245,712,415,2010,1509,1694,0,0,1756,934,2276,4,2,0,-0.21,OCLOCK-NINE,0,4,0,4,,OCLOCK-NINE,2
a-line_bob,a-line_bob,K_03_127,,4.273,1.804,-0.198,25,0,4.5,1.069,-0.255,11,0.27,,,3.769,1.925,-0.136,26,BOB HAIRCUT,,Noun,634,1301,667,1935,,,,,,,,,,0,0,0,1,flat_b,1,imrp,Flat,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Head,HeadAway,HeadAway,0,flat_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,725,179,342,634,1222,415,2010,1509,1030,839,1391,1756,1790,448,,,,,,3,4,3,4,,,3
a_little_bit,a_little_bit,H_03_025,,2.963,2.028,-0.762,28,0,3,2.309,-0.731,14,0.07,,,2.833,1.659,-0.236,24,a little bit,,Adjective,434,1101,667,1568,,,,,,,,,Arbitrary,0,0,0,1,bent_1,1,t,,1,,,Closed,,OneHanded,None,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,0,416,156,0,532,1215,1030,0,0,0,934,2276,,,,,"A-LITTLE-BIT	",1,3,1,3,,"A-LITTLE-BIT	",3
abbreviate,abbreviate,G_01_040,,5.444,1.528,0.669,27,0,5.25,1.545,0.566,12,0,1,1,2.286,2.088,-0.547,28,,0.301,Verb,467,1068,601,1802,,,,,,,,,Arbitrary,0,0,0,1,h,1,im,FullyOpen,0,0,0,Closed,0,DominanceViolation,Straight,Hand,FingerRadial,HandAway,1,DominanceConditionViolation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,682,94,298,1245,381,1051,2010,1509,1694,839,1391,1756,934,448,,,,,SHORT,17,1,17,1,short,SHORT,1
