EntryID,Participant,SignFrequencyRating(Raw),SignFrequency(ParticipantZ),ParticipantMeanFrequencyRating,ParticipantFrequencySD,Gender,ASLstatus,Age,UnknownSign,TechnicalDifficultyTrial,RepeatedTrial,ExcludedTrial
1_dollar,0063D,4,-0.195,4.388,1.992,Female,Native,59,0,0,0,0
1_dollar,0064D,4,-0.229,4.384,1.672,Male,Native,35,0,0,0,0
1_dollar,0129D,1,-1.508,3.875,1.906,Female,Native,30,0,0,0,0
1_dollar,0283D,3,-1.286,5.481,1.93,Female,Native,37,0,0,0,0
1_dollar,0804D,3,-1.362,4.685,1.238,Male,Native,31,0,0,0,0
1_dollar,1120D,3,-0.937,4.519,1.621,Female,Native,32,0,0,0,0
1_dollar,1121D,3,-0.326,3.557,1.708,Male,Native,33,0,0,0,0
1_dollar,1193D,3,-1.214,4.729,1.424,Female,Early,31,0,0,0,0
1_dollar,1270D,4,0.239,3.818,0.763,Male,Early,46,0,0,0,0
1_dollar,1324D,4,-0.059,4.107,1.819,Male,Native,31,0,0,0,0
1_dollar,1545D,1,-1.815,4.068,1.69,Female,Native,20,0,0,0,0
1_dollar,1549D,4,-0.205,4.304,1.484,Male,Native,25,0,0,0,0
1_dollar,1607D,2,-1.277,4.387,1.869,Male,Early,54,0,0,0,0
1_dollar,1619D,1,-1.618,3.767,1.71,Female,Early,31,0,0,0,0
1_dollar,1621D,7,1.224,4.843,1.761,Female,Early,31,0,0,0,0
1_dollar,1638D,4,-0.046,4.083,1.806,Female,Early,28,0,0,0,0
1_dollar,1639D,,,3.958,1.343,Female,Early,28,1,0,0,0
1_dollar,1692D,4,-0.356,4.668,1.875,Female,Native,32,0,0,0,0
1_dollar,1714D,2,-1.793,4.647,1.476,Male,Native,25,0,0,0,0
1_dollar,1721D,3,-0.337,3.549,1.629,Male,Early,24,0,0,0,0
1_dollar,1728D,5,0.496,4.379,1.253,Male,Native,53,0,0,0,0
1_dollar,1729D,1,-1.549,4.045,1.965,Female,Native,46,0,0,0,0
1_dollar,1734D,2,-1.612,4.851,1.769,Female,Native,42,0,0,0,0
1_dollar,1741D,4,0.176,3.651,1.986,Female,Early,33,0,0,0,0
1_dollar,1742D,6,0.363,5.32,1.876,Female,Native,54,0,0,0,0
1_dollar,1745D,3,-1.495,5.506,1.676,Female,Early,59,0,0,0,0
1_dollar,1746D,2,-0.821,3.389,1.691,Female,Early,55,0,0,0,0
1_dollar,1748D,2,-0.711,3.468,2.066,Female,Early,56,0,0,0,0
1_dollar,1751D,2,-1.133,4.53,2.234,Female,Native,50,0,0,0,0
1_dollar,1752D,1,-3.082,5.688,1.521,Female,Native,42,0,0,0,0
5_dollars,0064D,4,-0.353,4.583,1.652,Male,Native,35,0,0,0,0
5_dollars,0129D,5,0.459,4.226,1.687,Female,Native,29,0,0,0,0
5_dollars,0283D,5,0.257,4.537,1.802,Female,Native,37,0,0,0,0
5_dollars,0646D,7,0.729,6.282,0.986,Male,Early,37,0,0,0,0
5_dollars,1120D,4,-0.143,4.243,1.701,Female,Native,32,0,0,0,0
5_dollars,1121D,4,-0.009,4.015,1.793,Male,Native,33,0,0,0,0
5_dollars,1124D,6,0.903,4.45,1.717,Female,Native,28,0,0,0,0
5_dollars,1180D,7,1.03,5.157,1.79,Female,Early,30,0,0,0,0
5_dollars,1193D,4,-0.644,4.883,1.371,Female,Early,31,0,0,0,0
5_dollars,1324D,6,1.295,3.599,1.854,Male,Native,31,0,0,0,0
5_dollars,1619D,5,1.129,3.183,1.609,Female,Early,30,0,0,0,0
5_dollars,1621D,7,1.167,4.899,1.8,Female,Early,31,0,0,0,0
5_dollars,1625D,7,1.112,4.949,1.844,Female,Native,28,0,0,0,0
5_dollars,1626D,6,-0.006,6.007,1.33,Male,Early,30,0,0,0,0
5_dollars,1631D,4,-0.249,4.436,1.751,Female,Early,28,0,0,0,0
5_dollars,1636D,1,-2.141,4.83,1.789,Male,Native,27,0,0,0,0
5_dollars,1638D,2,-1.223,4.159,1.766,Female,Early,27,0,0,0,0
5_dollars,1639D,4,-0.015,4.019,1.257,Female,Early,28,0,0,0,0
5_dollars,1692D,7,1.062,5.253,1.645,Female,Native,32,0,0,0,0
5_dollars,1714D,7,1.635,4.567,1.489,Male,Native,24,0,0,0,0
5_dollars,1721D,5,0.753,3.954,1.389,Male,Early,24,0,0,0,0
5_dollars,1725D,4,-0.164,4.21,1.281,Male,Early,24,0,0,0,0
5_dollars,1728D,7,0.907,5.919,1.193,Male,Native,52,0,0,0,0
5_dollars,1729D,7,1.025,5.377,1.583,Female,Native,45,0,0,0,0
