EntryID,Participant,IconicityRating(Raw),Iconicity(Participant Z),ParticipantMeanIconicityRating,ParticipantIconicitySD
1_dollar,9C2,1,-0.652359545,2.21,1.854805389
1_dollar,10C2,1,-0.705911468,2.51,2.139078438
1_dollar,25C2,1,-0.785283591,2.47,1.871935206
1_dollar,6C2,1,-0.91701562,2.9,2.071938535
1_dollar,19C2,1,-0.794260118,2.66,2.089995409
1_dollar,23C2,2,-0.802826547,3.73,2.15488639
1_dollar,13C2,1,-0.886668516,3.13,2.402250628
1_dollar,7C2,1,-1.13255734,3.27,2.00431353
1_dollar,3C2,1,-0.558716612,1.690721649,1.236264743
1_dollar,18C2,1,-1.075908579,3.484848485,2.309534967
1_dollar,26C2,2,-0.503380288,3.09,2.165360912
1_dollar,20C2,1,-1.138933629,3.5,2.195035721
1_dollar,1C2,1,-0.599336797,2.02020202,1.702218229
1_dollar,11C2,1,-0.677756682,2.25,1.844319699
1_dollar,2C2,1,-0.92290016,3.34,2.535485529
1_dollar,17C2,1,-0.920013564,2.56,1.695627175
1_dollar,12C2,1,-0.723247217,2.57,2.170765354
1_dollar,14C2,1,-0.795692074,2.54,1.935422069
1_dollar,5C2,1,-0.920093712,3.2,2.391060793
1_dollar,21C2,1,-1.179317936,3.76,2.340335813
1_dollar,22C2,1,-0.787800144,2.7,2.157907703
1_dollar,16C2,1,-0.687990871,2.16,1.686068884
1_dollar,8C2,1,-0.682447944,2.111111111,1.628125809
1_dollar,15C2,1,-0.89935148,3.13,2.368373264
1_dollar,24C2,1,-0.771564633,2.65,2.138511708
1_dollar,4C2,1,-1.072211349,3.21,2.061160799
1_dollar,27C2,1,-0.537095093,1.82,1.526731506
5_dollars,12B1,2,-0.248062245,2.447916667,1.80566239
5_dollars,22B1,7,2.172478402,2.875,1.898753053
5_dollars,7B1,6,2.360508472,2.020833333,1.685724374
5_dollars,14B1,6,1.339856986,3.510416667,1.858096319
5_dollars,10B1,7,1.131173461,4.135416667,2.532399701
5_dollars,4B1,6,1.693295104,3.010526316,1.765477073
5_dollars,1B1,4,0.382513197,3.1875,2.124109721
5_dollars,16B1,7,1.806182863,3.150537634,2.131269455
5_dollars,21B1,2,0,2,1.710647769
5_dollars,15B1,7,1.611877315,3.104166667,2.416954006
5_dollars,20B1,3,0.235520525,2.583333333,1.769131019
5_dollars,3B1,6,1.473096411,3.135416667,1.944600036
5_dollars,23B1,5,0.780112423,3.15625,2.363441403
5_dollars,17B1,7,1.700875803,3.114583333,2.284362363
5_dollars,11B1,5,1.585383297,2.104166667,1.826582467
5_dollars,9B1,7,2.242921705,2.515789474,1.999271984
5_dollars,5B1,7,2.51320606,2.095744681,1.951394037
5_dollars,26B1,6,1.169521763,3.142857143,2.443001017
5_dollars,27B1,6,1.326251044,3.520833333,1.869304214
5_dollars,2B1,4,1.389854625,1.84375,1.55142125
5_dollars,18B1,6,1.036463178,3.479166667,2.432149436
5_dollars,8B1,6,0.968954555,3.697916667,2.375842418
5_dollars,19B1,4,1.24683378,1.989583333,1.612417549
5_dollars,6B1,4,0.071266778,3.84375,2.192466167
5_dollars,24B1,6,1.497893943,2.791666667,2.141896192
5_dollars,25B1,6,1.686003919,2.666666667,1.977061438
5_dollars,13B1,6,2.140024793,2.229166667,1.762051237
8_hour,15C2,1,-0.89935148,3.13,2.368373264
8_hour,16C2,1,-0.687990871,2.16,1.686068884
8_hour,3C2,1,-0.558716612,1.690721649,1.236264743
8_hour,14C2,1,-0.795692074,2.54,1.935422069
8_hour,26C2,4,0.420253268,3.09,2.165360912
8_hour,1C2,,,2.02020202,1.702218229
8_hour,17C2,3,0.259491005,2.56,1.695627175
8_hour,25C2,3,0.283129458,2.47,1.871935206
8_hour,13C2,6,1.194712977,3.13,2.402250628
8_hour,10C2,1,-0.705911468,2.51,2.139078438
8_hour,5C2,3,-0.083644883,3.2,2.391060793
8_hour,27C2,1,-0.537095093,1.82,1.526731506
8_hour,7C2,3,-0.134709463,3.27,2.00431353
8_hour,8C2,2,-0.068244794,2.111111111,1.628125809
8_hour,2C2,4,0.260305173,3.34,2.535485529
8_hour,24C2,4,0.631280154,2.65,2.138511708
8_hour,9C2,1,-0.652359545,2.21,1.854805389
8_hour,19C2,2,-0.315790167,2.66,2.089995409
8_hour,12C2,1,-0.723247217,2.57,2.170765354
8_hour,11C2,1,-0.677756682,2.25,1.844319699
8_hour,18C2,4,0.223054218,3.484848485,2.309534967
8_hour,6C2,3,0.04826398,2.9,2.071938535
8_hour,4C2,3,-0.101884336,3.21,2.061160799
8_hour,20C2,4,0.227786726,3.5,2.195035721
8_hour,22C2,1,-0.787800144,2.7,2.157907703
8_hour,23C2,5,0.589358217,3.73,2.15488639
8_hour,21C2,6,0.9571276,3.76,2.340335813
9_oclock,8C2,2,-0.068244794,2.111111111,1.628125809
9_oclock,15C2,1,-0.89935148,3.13,2.368373264
9_oclock,19C2,1,-0.794260118,2.66,2.089995409
9_oclock,1C2,3,0.575600686,2.02020202,1.702218229
9_oclock,2C2,5,0.654706951,3.34,2.535485529
9_oclock,7C2,4,0.364214475,3.27,2.00431353
9_oclock,22C2,1,-0.787800144,2.7,2.157907703
9_oclock,18C2,4,0.223054218,3.484848485,2.309534967
9_oclock,24C2,1,-0.771564633,2.65,2.138511708
9_oclock,12C2,1,-0.723247217,2.57,2.170765354
9_oclock,10C2,3,0.229070609,2.51,2.139078438
9_oclock,23C2,6,1.053419805,3.73,2.15488639
9_oclock,5C2,2,-0.501869297,3.2,2.391060793
9_oclock,4C2,3,-0.101884336,3.21,2.061160799
9_oclock,13C2,4,0.36216038,3.13,2.402250628
9_oclock,11C2,1,-0.677756682,2.25,1.844319699
9_oclock,17C2,3,0.259491005,2.56,1.695627175
9_oclock,21C2,1,-1.179317936,3.76,2.340335813
9_oclock,14C2,2,-0.279008909,2.54,1.935422069
9_oclock,27C2,3,0.772892939,1.82,1.526731506
9_oclock,3C2,3,1.059059848,1.690721649,1.236264743
9_oclock,6C2,1,-0.91701562,2.9,2.071938535
9_oclock,20C2,4,0.227786726,3.5,2.195035721
9_oclock,16C2,4,1.091295864,2.16,1.686068884
9_oclock,25C2,4,0.817335982,2.47,1.871935206
9_oclock,9C2,4,0.965060815,2.21,1.854805389
9_oclock,26C2,3,-0.04156351,3.09,2.165360912
about_1,19B2,1,-0.674810906,2.244897959,1.844810076
about_1,15B2,1,-1.012330949,3.091836735,2.066356596
about_1,9B2,1,-0.802980485,2.546391753,1.925814863
about_1,21B2,2,-0.20223911,2.357142857,1.765943572
about_1,25B2,1,-1.163104457,3.489795918,2.140646872
about_1,14B2,1,-0.700346549,2.734693878,2.476907868
about_1,5B2,2,-0.318756809,2.701030928,2.199265732
about_1,27B2,2,-0.312023455,2.632653061,2.027581745
about_1,3B2,1,-0.755243396,2.530612245,2.026647639
about_1,20B2,2,-0.426004426,2.897959184,2.10786351
about_1,17B2,1,-0.623789516,2.193877551,1.913910895
about_1,23B2,3,0.497324937,2.06122449,1.887650187
about_1,13B2,2,-0.52980535,3.06185567,2.00423735
about_1,7B2,4,0.672199583,2.515463918,2.208475162
about_1,6B2,2,-0.336700811,2.742268041,2.204532975
about_1,24B2,2,-0.807094144,3.704081633,2.111379007
about_1,12B2,1,-1.113347472,3.690721649,2.416785161
about_1,18B2,1,-0.791979458,2.43877551,1.816682864
about_1,16B2,4,1.285242736,1.87755102,1.65139932
about_1,10B2,2,-0.43863681,2.959183673,2.186737755
about_1,30B2,6,1.101135777,4,1.816306437
about_1,8B2,2,-0.222477486,2.474226804,2.131572109
about_1,29B2,2,-0.098585873,2.183673469,1.863081024
about_1,22B2,7,1.45798705,3.316326531,2.526547454
about_1,11B2,3,0.110808653,2.783505155,1.953772015
about_1,4B2,1,-0.874171679,2.711340206,1.957670612
about_1,28B2,1,-0.927935126,2.908163265,2.056354169
about_1,1B2,1,-0.615347805,2.371134021,2.228226068
about_1,2B2,2,-0.290662861,2.494845361,1.702471924
about_1,26B2,1,-0.79639127,2.693877551,2.126941385
about_2,19B2,1,-0.674810906,2.244897959,1.844810076
about_2,28B2,2,-0.441637573,2.908163265,2.056354169
about_2,14B2,1,-0.700346549,2.734693878,2.476907868
about_2,15B2,2,-0.528387374,3.091836735,2.066356596
about_2,27B2,1,-0.805221819,2.632653061,2.027581745
about_2,30B2,4,0,4,1.816306437
about_2,2B2,1,-0.87804406,2.494845361,1.702471924
about_2,24B2,4,0.140154073,3.704081633,2.111379007
about_2,25B2,3,-0.228807434,3.489795918,2.140646872
about_2,9B2,1,-0.802980485,2.546391753,1.925814863
about_2,22B2,6,1.062190012,3.316326531,2.526547454
about_2,6B2,2,-0.336700811,2.742268041,2.204532975
about_2,21B2,2,-0.20223911,2.357142857,1.765943572
about_2,5B2,3,0.135940404,2.701030928,2.199265732
about_2,16B2,1,-0.531398439,1.87755102,1.65139932
about_2,10B2,1,-0.895939017,2.959183673,2.186737755
about_2,20B2,3,0.048409594,2.897959184,2.10786351
