target,neighbor,num_matched_features,matched_features,num_missed_features,missed_features
A_01_002,B_01_062,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_002,B_03_025,12,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,SignType.2.0
A_01_002,C_03_023,12,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_002,F_02_88,12,"Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,SelectedFingers.2.0
A_01_002,H_03_4,12,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,ThumbPosition.2.0
A_01_002,J_03_046,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_003,A_01_011,12,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_003,A_01_030,12,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_003,B_01_033,12,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_003,D_02_047,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_003,E_03_4,12,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_003,F_01_10,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_003,J_01_055,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_004,B_01_029,13,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_004,B_01_064,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Spread.2.0
A_01_004,B_01_080,14,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",0,
A_01_004,B_02_022,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,SecondMinorLocation.2.0
A_01_004,B_03_032,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,ThumbContact.2.0
A_01_004,C_01_017,13,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_004,C_02_044,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Spread.2.0
A_01_004,C_02_074,13,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_004,D_01_030,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, UlnarRotation.2.0",1,Contact.2.0
A_01_004,D_01_062,13,"SelectedFingers.2.0, FlexionChange.2.0, Spread.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Flexion.2.0
A_01_004,D_01_081,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Spread.2.0
A_01_004,D_03_067,13,"SelectedFingers.2.0, Flexion.2.0, FlexionChange.2.0, SpreadChange.2.0, ThumbPosition.2.0, ThumbContact.2.0, SignType.2.0, Movement.2.0, MajorLocation.2.0, MinorLocation.2.0, SecondMinorLocation.2.0, Contact.2.0, UlnarRotation.2.0",1,Spread.2.0
