,EntryID,Code,group_id,color_code
0,&=arms-cross,J_01_098,,#1eb2ad
1,&=clap,J_02_076,,#1eb2ad
2,&=raise-hand,H_02_48,,#1eb2ad
3,&=sigh,H_03_86,,#1eb2ad
4,1_dollar,C_02_025,,#1eb2ad
5,5_dollars,B_01_062,0.0,#fff587
6,8_hour,C_02_055,,#1eb2ad
7,9_oclock,C_02_080,92.0,#f961a3
8,A-LINE_BOB,K_03_127,,#1eb2ad
9,a_little_bit,H_03_25,9.0,#cce07b
10,abbreviate(short),G_01_40,,#1eb2ad
11,about_1,B_02_072,90.0,#d657bc
12,about_2,B_02_003,,#1eb2ad
13,absolutely_nothing,J_01_027,165.0,#f7cd96
14,accent,E_01_73,,#1eb2ad
15,accept,H_02_42,,#1eb2ad
16,access,H_02_86,147.0,#3835fc
17,accident,B_02_059,34.0,#1049ce
18,accomplish,C_02_085,123.0,#5ecedb
19,accordion,F_02_48,27.0,#9d7fd1
20,accountant,A_03_044,62.0,#4ed36d
21,acquire,H_01_34,20.0,#25e866
22,act,B_02_038,47.0,#012b5b
23,action,C_01_026,12.0,#5a81ce
24,actor,A_03_047,47.0,#012b5b
25,add,E_02_30,,#1eb2ad
26,addict,H_02_73,11.0,#75e594
27,address,D_01_016,47.0,#012b5b
28,admire,J_03_049,,#1eb2ad
29,admit,J_02_062,63.0,#ade861
30,adopt,J_03_014,34.0,#1049ce
31,adult,C_03_008,31.0,#edaaa1
32,advantage,H_03_59,71.0,#7ba3ed
33,advertise,J_03_015,,#1eb2ad
34,africa,A_02_082,12.0,#5a81ce
35,after,B_02_030,,#1eb2ad
36,afternoon,J_01_040,0.0,#fff587
37,again,J_02_013,,#1eb2ad
38,against,H_03_3,1.0,#9fa9f4
39,age,B_02_071,89.0,#22e84a
40,agency,H_01_44,9.0,#cce07b
41,agreement,C_02_078,4.0,#f9c2c6
42,airplane,D_03_068,8.0,#a8ffe3
43,alarm,C_01_085,62.0,#4ed36d
44,alaska,H_02_87,,#1eb2ad
45,alcohol,E_03_12,,#1eb2ad
46,align,H_02_22,2.0,#ba98f2
47,all,C_03_088,130.0,#5ab70e
48,all_day,H_02_93,15.0,#077741
49,all_gone,J_03_021,31.0,#edaaa1
50,all_of_sudden,H_01_96,0.0,#fff587
51,all_over,J_02_064,15.0,#077741
52,all_over_body,H_03_78,2.0,#ba98f2
53,all_together,J_01_044,,#1eb2ad
54,all_way,H_01_84,15.0,#077741
55,allergy,G_03_72,8.0,#a8ffe3
56,alone,D_02_024,8.0,#a8ffe3
57,alone_2,H_01_1,77.0,#8ed5e5
58,alphabet,B_02_024,9.0,#cce07b
59,alright,J_03_025,1.0,#9fa9f4
60,always,J_03_076,8.0,#a8ffe3
61,amazing,D_02_093,31.0,#edaaa1
