,EntryID,Code,group_id,color_code,num_edges
0,5_dollars,B_01_062,0,#ad66cc,0
1,afternoon,J_01_040,0,#ad66cc,0
2,all_of_sudden,H_01_96,0,#ad66cc,0
3,basketball,A_03_045,0,#ad66cc,0
4,baster_1,G_03_53,0,#ad66cc,0
5,beg,F_02_37,0,#ad66cc,6
6,blue,C_02_062,0,#ad66cc,0
7,bottom_2,F_01_66,0,#ad66cc,2
8,butterfly,A_03_056,0,#ad66cc,0
9,bye,E_01_58,0,#ad66cc,2
10,channel,C_03_023,0,#ad66cc,0
11,dent,H_02_30,0,#ad66cc,1
12,dont_want,E_02_14,0,#ad66cc,0
13,faucet,D_01_065,0,#ad66cc,0
14,fifth,J_03_046,0,#ad66cc,0
15,finish,B_03_025,0,#ad66cc,0
16,fourth,H_03_4,0,#ad66cc,1
17,germany,D_02_088,0,#ad66cc,6
18,hold_hands,H_02_75,0,#ad66cc,1
19,hypocrite,F_03_24,0,#ad66cc,19
20,keyboard,B_03_070,0,#ad66cc,6
21,lamp,D_03_037,0,#ad66cc,2
22,late,C_01_013,0,#ad66cc,3
23,lobster,D_01_072,0,#ad66cc,9
24,meeting,C_03_082,0,#ad66cc,2
25,milk,A_01_051,0,#ad66cc,0
26,not_yet,D_01_044,0,#ad66cc,2
27,produce_sign,J_03_051,0,#ad66cc,1
28,saxophone,G_03_15,0,#ad66cc,0
29,third_1,F_02_88,0,#ad66cc,1
30,tickle,H_01_73,0,#ad66cc,4
31,tree,A_01_002,0,#ad66cc,3
32,WAIT,B_02_016,0,#ad66cc,3
33,WASH_MACHINE,C_02_057,0,#ad66cc,0
34,9_oclock,C_02_080,92,#b951e2,1
35,cannon,G_02_37,92,#b951e2,0
36,clock,D_02_076,92,#b951e2,1
37,temptation,C_01_082,92,#b951e2,0
38,time,B_02_080,92,#b951e2,2
39,a_little_bit,H_03_25,10,#f9ffa8,2
40,agency,H_01_44,10,#f9ffa8,1
41,alphabet,B_02_024,10,#f9ffa8,48
42,any,G_01_16,10,#f9ffa8,6
43,anyone,H_01_59,10,#f9ffa8,3
44,april,H_02_70,10,#f9ffa8,0
45,arrest_1,H_03_74,10,#f9ffa8,0
46,athlete,J_03_068,10,#f9ffa8,6
47,challenge,B_03_051,10,#f9ffa8,1
48,continue,D_03_032,10,#f9ffa8,6
49,dig_up,G_02_19,10,#f9ffa8,7
50,each_other,H_02_76,10,#f9ffa8,3
51,everything,F_03_84,10,#f9ffa8,6
52,follow,G_01_58,10,#f9ffa8,20
53,game,C_03_047,10,#f9ffa8,0
54,gun,D_02_046,10,#f9ffa8,6
55,hot_competition,E_01_26,10,#f9ffa8,7
56,jigsaw_puzzle,C_02_084,10,#f9ffa8,11
57,knock,F_01_42,10,#f9ffa8,1
58,lighter,D_02_025,10,#f9ffa8,4
59,other,B_02_043,10,#f9ffa8,5
60,pass,H_03_33,10,#f9ffa8,11
61,persistent,E_01_78,10,#f9ffa8,6
62,pliers,D_01_032,10,#f9ffa8,10
63,race,F_02_75,10,#f9ffa8,0
64,remote_control,B_03_004,10,#f9ffa8,5
65,science,A_02_011,10,#f9ffa8,0
66,scientist,A_01_020,10,#f9ffa8,1
67,shape,F_01_5,10,#f9ffa8,5
68,sports,C_03_035,10,#f9ffa8,1
69,stapler,G_02_5,10,#f9ffa8,0
70,stopwatch,F_01_67,10,#f9ffa8,1
71,text,B_03_054,10,#f9ffa8,1
72,uncertain(ambivalent),H_02_20,10,#f9ffa8,1
73,videogame,H_01_91,10,#f9ffa8,11
74,wash,E_01_33,10,#f9ffa8,0
75,WHICH,B_01_088,10,#f9ffa8,3
76,without,H_03_21,10,#f9ffa8,0
77,about_1,B_02_072,90,#54e554,0
78,WHEN,C_03_086,90,#54e554,0
79,absolutely_nothing,J_01_027,166,#aa1128,0
80,dont_care,G_03_82,166,#aa1128,11
81,feed,G_03_58,166,#aa1128,1
82,kiss_2,E_03_88,166,#aa1128,0
83,access,H_02_86,148,#af1548,0
84,excuse,D_03_052,148,#af1548,0
85,accident,B_02_059,33,#e577c6,3
86,adopt,J_03_014,33,#e577c6,8
87,and,B_03_072,33,#e577c6,0
88,bloom,G_03_14,33,#e577c6,0
89,bright,F_03_28,33,#e577c6,1
90,burn,J_02_037,33,#e577c6,2
91,car_accident,E_03_29,33,#e577c6,0
92,catch,G_02_33,33,#e577c6,4
93,catch_2,J_01_073,33,#e577c6,1
94,catch_3,H_03_15,33,#e577c6,4
95,chew_2(5),J_02_027,33,#e577c6,1
96,clear,D_01_006,33,#e577c6,0
97,climb_ladder,F_01_103,33,#e577c6,0
98,confident,D_02_035,33,#e577c6,1
99,dissolve,J_03_081,33,#e577c6,3
100,drag,J_02_039,33,#e577c6,5
101,drawer,A_01_082,33,#e577c6,2
102,dresser,F_03_75,33,#e577c6,0
103,explode,H_01_53,33,#e577c6,0
104,fade,J_02_053,33,#e577c6,0
105,get,B_03_007,33,#e577c6,6
106,habit,E_03_67,33,#e577c6,9
107,hold,F_02_80,33,#e577c6,0
108,hold_together,E_02_3,33,#e577c6,2
109,hotdog,B_03_067,33,#e577c6,0
110,mean_1,B_02_069,33,#e577c6,0
111,obvious,E_03_56,33,#e577c6,0
112,outside,E_03_71,33,#e577c6,5
113,recite,J_02_078,33,#e577c6,4
114,sausage,F_03_88,33,#e577c6,1
115,send,E_02_9,33,#e577c6,0
116,smooth,H_02_101,33,#e577c6,0
117,sow,H_01_75,33,#e577c6,7
118,speakers,B_01_076,33,#e577c6,1
119,spill,G_01_37,33,#e577c6,0
120,spread,G_03_12,33,#e577c6,45
121,squeeze,H_03_19,33,#e577c6,0
122,starbucks,B_03_010,33,#e577c6,19
123,summarize,D_03_041,33,#e577c6,0
124,take,G_01_93,33,#e577c6,4
125,total,H_01_71,33,#e577c6,0
126,udder,F_02_84,33,#e577c6,0
127,WET,B_02_065,33,#e577c6,2
128,wring,H_01_29,33,#e577c6,1
129,accomplish,C_02_085,123,#bddd54,3
130,finally,D_01_012,123,#bddd54,0
131,accordion,F_02_48,26,#e5c880,1
132,bag,A_01_064,26,#e5c880,22
133,baseball,A_03_043,26,#e5c880,0
134,bat_2,E_01_21,26,#e5c880,1
135,bat_3,F_02_28,26,#e5c880,3
136,beat,D_03_020,26,#e5c880,26
137,bicycle,D_02_026,26,#e5c880,0
138,boxing,F_03_50,26,#e5c880,27
139,break,D_01_069,26,#e5c880,2
140,bridesmaid,A_03_016,26,#e5c880,0
141,can,D_03_027,26,#e5c880,0
142,canoe,D_01_045,26,#e5c880,0
143,car,D_02_043,26,#e5c880,0
144,cheerleader,H_02_45,26,#e5c880,0
145,churn,E_01_46,26,#e5c880,1
146,create,D_03_076,26,#e5c880,0
147,defeat_2,G_03_90,26,#e5c880,1
148,dice,D_02_036,26,#e5c880,0
149,dominant,J_01_087,26,#e5c880,2
150,drive,E_02_53,26,#e5c880,1
151,east,D_03_082,26,#e5c880,0
152,evaluate,A_03_015,26,#e5c880,0
153,experiment,H_03_2,26,#e5c880,1
154,fight,B_03_058,26,#e5c880,21
155,freedom(sameasRELEASE),E_02_1,26,#e5c880,2
156,gamble,F_01_51,26,#e5c880,2
157,head_back,H_03_100,26,#e5c880,1
158,hit,F_02_5,26,#e5c880,0
159,lawnmower,B_03_064,26,#e5c880,10
160,make,C_01_032,26,#e5c880,5
161,math,A_03_027,26,#e5c880,4
162,museum,C_01_024,26,#e5c880,0
163,plunger,A_01_087,26,#e5c880,1
164,possible,B_02_005,26,#e5c880,0
165,protest,H_03_26,26,#e5c880,7
166,release(sameasFREEDOM),E_03_59,26,#e5c880,5
167,rescue,H_02_67,26,#e5c880,3
168,resist,G_03_30,26,#e5c880,1
169,row,G_03_47,26,#e5c880,0
170,run_2(fists),J_01_100,26,#e5c880,13
171,safe,G_01_85,26,#e5c880,1
172,saturday,D_01_028,26,#e5c880,0
173,saw,D_03_060,26,#e5c880,0
174,shake_2,F_03_48,26,#e5c880,1
175,shakespeare,J_03_105,26,#e5c880,1
176,shield,E_01_50,26,#e5c880,2
177,shoes,A_02_057,26,#e5c880,5
178,shovel,A_01_088,26,#e5c880,1
179,slave,E_03_94,26,#e5c880,0
180,society,H_01_2,26,#e5c880,9
181,south,C_02_029,26,#e5c880,6
182,structure,H_01_35,26,#e5c880,0
183,submit,H_02_55,26,#e5c880,2
184,support_2,F_03_66,26,#e5c880,5
185,system,H_01_61,26,#e5c880,4
186,TRY,B_02_034,26,#e5c880,9
187,winter,E_03_22,26,#e5c880,0
188,work_out,E_02_92,26,#e5c880,1
189,YEAR,B_02_015,26,#e5c880,7
190,Yes,G_03_74,26,#e5c880,0
191,accountant,A_03_044,62,#f4c497,48
192,alarm,C_01_085,62,#f4c497,3
193,bell,G_02_18,62,#f4c497,0
194,count,G_02_54,62,#f4c497,0
195,design,J_03_104,62,#f4c497,0
196,develop_2,H_01_050,62,#f4c497,0
197,dictionary,F_03_35,62,#f4c497,0
198,finance,F_02_47,62,#f4c497,1
199,highlighter,G_01_20,62,#f4c497,0
200,mosquito_1,H_03_53,62,#f4c497,0
201,pen,E_02_97,62,#f4c497,0
202,score,H_01_60,62,#f4c497,5
203,therapy,H_03_88,62,#f4c497,1
204,WRITE,D_01_051,62,#f4c497,18
205,acquire,H_01_34,19,#e87fa2,0
206,australia,J_03_035,19,#e87fa2,0
207,bend,G_03_31,19,#e87fa2,1
208,bow_2,G_02_63,19,#e87fa2,7
209,brick,H_02_85,19,#e87fa2,0
210,caption,C_02_086,19,#e87fa2,1
211,chain,E_02_55,19,#e87fa2,2
212,comment,H_01_5,19,#e87fa2,1
213,damn,F_01_98,19,#e87fa2,8
214,dart,C_03_029,19,#e87fa2,0
215,deal_cards,J_02_074,19,#e87fa2,0
216,decide_2,D_03_057,19,#e87fa2,0
217,degree,J_01_021,19,#e87fa2,0
218,department,C_02_033,19,#e87fa2,1
219,director,H_01_14,19,#e87fa2,0
220,disconnect,H_01_17,19,#e87fa2,0
221,divorce,C_01_063,19,#e87fa2,3
222,do_do,E_01_96,19,#e87fa2,0
223,donut_2,E_02_48,19,#e87fa2,18
224,download,C_03_046,19,#e87fa2,2
225,drum,A_03_075,19,#e87fa2,0
226,dust,H_03_87,19,#e87fa2,0
227,dye,F_02_92,19,#e87fa2,19
228,eclipse,F_02_15,19,#e87fa2,0
229,edit_2,G_02_57,19,#e87fa2,2
230,explanation,C_02_053,19,#e87fa2,45
231,family,C_01_025,19,#e87fa2,1
232,feedback,J_01_002,19,#e87fa2,0
233,fencing,F_01_83,19,#e87fa2,0
234,find,B_03_076,19,#e87fa2,0
235,fit,E_02_7,19,#e87fa2,0
236,flip_switch(sameasLIGHT_SWITCH),E_01_66,19,#e87fa2,21
237,forfeit,D_02_038,19,#e87fa2,2
238,form,G_03_23,19,#e87fa2,0
239,frame,G_02_34,19,#e87fa2,0
240,france,D_02_078,19,#e87fa2,0
241,free,G_01_27,19,#e87fa2,7
242,french,C_02_022,19,#e87fa2,0
243,frenchfries,A_01_085,19,#e87fa2,10
244,friday,B_02_020,19,#e87fa2,0
245,furniture,C_02_059,19,#e87fa2,0
246,ghost,E_01_32,19,#e87fa2,0
247,glue_2,F_01_96,19,#e87fa2,0
248,hammer,C_02_021,19,#e87fa2,4
249,important,B_01_081,19,#e87fa2,21
250,instagram,H_03_83,19,#e87fa2,0
251,instead,H_01_79,19,#e87fa2,20
252,invisible,G_03_78,19,#e87fa2,0
253,italy,D_02_074,19,#e87fa2,4
254,japan,D_01_046,19,#e87fa2,0
255,judge,B_01_058,19,#e87fa2,2
256,jump_rope,G_01_19,19,#e87fa2,2
257,knight,H_01_54,19,#e87fa2,1
258,let_go,F_02_34,19,#e87fa2,0
259,magnet,C_03_003,19,#e87fa2,0
260,manage,J_01_023,19,#e87fa2,0
261,marionette,F_03_73,19,#e87fa2,3
262,model_3,H_03_42,19,#e87fa2,4
263,mop,A_02_090,19,#e87fa2,0
264,no_big_deal,H_03_44,19,#e87fa2,2
265,nothing_2,E_02_65,19,#e87fa2,0
266,pepper,A_02_085,19,#e87fa2,0
267,perfect,D_01_008,19,#e87fa2,16
268,persuade,G_01_91,19,#e87fa2,9
269,pizza_cutter,E_02_84,19,#e87fa2,0
270,plate,F_02_60,19,#e87fa2,0
271,pole,H_02_14,19,#e87fa2,1
272,popcorn,A_02_080,19,#e87fa2,11
273,postpone,H_01_12,19,#e87fa2,2
274,preacher,D_01_019,19,#e87fa2,1
275,pull,D_02_062,19,#e87fa2,0
276,pull_convince,G_03_69,19,#e87fa2,0
277,replace,J_03_007,19,#e87fa2,0
278,risk(take_risk),F_02_26,19,#e87fa2,2
279,select,D_03_087,19,#e87fa2,0
280,sentence,H_01_25,19,#e87fa2,0
281,seven,F_03_87,19,#e87fa2,0
282,six,G_03_34,19,#e87fa2,20
283,sticky,F_02_89,19,#e87fa2,48
284,story,E_01_15,19,#e87fa2,1
285,story_3,H_03_7,19,#e87fa2,0
286,sunrise,H_03_89,19,#e87fa2,10
287,sword,E_03_101,19,#e87fa2,15
288,team,E_01_71,19,#e87fa2,27
