target,neighbor,num_matched_features,matched_features,num_missed_features,missed_features
A_01_004,A_01_020,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_01_055,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_01_057,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_01_061,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_02_005,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_02_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_02_033,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_02_034,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_008,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_010,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_014,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_030,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_035,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_039,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_044,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_047,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,A_03_084,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,B_01_005,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,B_01_089,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,B_02_066,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,B_02_074,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_01_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_01_015,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_01_067,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_01_073,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_01_077,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_02_078,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_02_080,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,C_03_067,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_01_019,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_01_023,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_020,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_031,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_036,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_041,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_066,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_02_076,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,D_03_074,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,E_01_91,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,E_02_10,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,E_02_102,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,E_02_14,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,E_03_98,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_01_51,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_01_73,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_02_101,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_02_13,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_03_3,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_03_61,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_03_75,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_004,F_03_84,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
