,source,target
0,H_03_102,A_01_042
1,J_02_012,A_01_042
2,J_02_038,A_01_042
3,J_02_085,A_01_042
4,B_02_089,A_01_043
5,A_03_029,A_01_046
6,C_01_011,A_01_046
7,D_01_009,A_01_046
8,D_02_072,A_01_046
9,A_02_005,A_01_047
10,A_03_033,A_01_047
11,A_03_087,A_01_047
12,B_02_013,A_01_047
13,B_03_028,A_01_047
14,C_01_065,A_01_047
15,C_02_002,A_01_047
16,C_02_069,A_01_047
17,D_02_018,A_01_047
18,D_02_089,A_01_047
19,D_03_010,A_01_047
20,D_03_030,A_01_047
21,E_02_45,A_01_047
22,E_03_48,A_01_047
23,E_03_85,A_01_047
24,E_03_95,A_01_047
25,F_02_65,A_01_047
26,F_03_54,A_01_047
27,G_03_72,A_01_047
28,H_01_16,A_01_047
29,H_01_4,A_01_047
30,H_02_18,A_01_047
31,H_02_47,A_01_047
32,H_03_29,A_01_047
33,H_03_76,A_01_047
34,J_02_047,A_01_047
35,J_02_084,A_01_047
36,J_03_006,A_01_047
37,C_03_013,A_01_050
38,E_01_12,A_01_050
39,E_01_25,A_01_050
40,F_03_10,A_01_050
41,G_02_80,A_01_050
42,D_01_032,A_01_051
43,G_03_53,A_01_051
44,A_02_050,A_01_052
45,A_03_024,A_01_052
46,D_03_085,A_01_052
47,F_03_96,A_01_052
48,H_01_104,A_01_052
49,H_02_62,A_01_052
50,H_03_1,A_01_052
51,J_02_061,A_01_052
52,J_03_043,A_01_052
53,A_03_077,A_01_053
54,E_01_56,A_01_053
55,E_03_101,A_01_053
56,E_03_16,A_01_053
57,G_02_87,A_01_053
58,B_03_089,A_01_054
59,C_03_022,A_01_054
60,D_01_090,A_01_054
61,G_01_24,A_01_054
62,J_02_075,A_01_054
63,E_01_40,A_01_055
64,F_03_76,A_01_055
65,H_01_56,A_01_055
66,F_01_2,A_01_056
67,H_03_64,A_01_056
68,J_02_068,A_01_056
69,J_02_099,A_01_056
70,E_03_46,A_01_057
71,F_02_23,A_01_057
72,H_02_42,A_01_057
73,J_02_043,A_01_057
74,A_01_024,A_01_058
75,A_01_061,A_01_058
76,A_01_062,A_01_058
77,A_03_089,A_01_058
78,B_03_022,A_01_058
79,B_03_079,A_01_058
80,C_02_073,A_01_058
81,D_03_070,A_01_058
82,E_02_4,A_01_058
83,E_03_34,A_01_058
84,E_03_58,A_01_058
85,F_01_34,A_01_058
86,F_01_88,A_01_058
87,F_01_97,A_01_058
88,F_03_4,A_01_058
89,G_02_7,A_01_058
90,J_02_042,A_01_058
91,J_02_052,A_01_058
92,J_03_055,A_01_058
93,A_03_003,A_01_059
94,B_03_063,A_01_059
95,J_02_023,A_01_059
96,B_01_051,A_01_060
97,A_01_024,A_01_061
98,A_01_058,A_01_061
99,A_01_062,A_01_061
100,A_03_089,A_01_061
101,B_01_025,A_01_061
102,B_01_029,A_01_061
103,B_01_043,A_01_061
104,B_03_022,A_01_061
105,C_01_017,A_01_061
106,C_01_079,A_01_061
107,C_02_046,A_01_061
108,C_02_064,A_01_061
109,C_02_066,A_01_061
110,C_02_073,A_01_061
111,C_03_014,A_01_061
112,C_03_025,A_01_061
113,D_01_030,A_01_061
114,D_01_062,A_01_061
115,D_01_089,A_01_061
116,D_02_077,A_01_061
117,D_02_084,A_01_061
118,D_03_070,A_01_061
119,D_03_079,A_01_061
120,E_01_75,A_01_061
121,E_02_4,A_01_061
122,E_02_47,A_01_061
123,E_02_8,A_01_061
124,E_03_34,A_01_061
125,E_03_55,A_01_061
126,E_03_58,A_01_061
127,E_03_89,A_01_061
128,F_01_34,A_01_061
129,F_01_88,A_01_061
130,F_01_97,A_01_061
131,F_02_58,A_01_061
132,F_02_83,A_01_061
133,F_03_31,A_01_061
134,F_03_4,A_01_061
135,F_03_61,A_01_061
136,G_01_57,A_01_061
137,G_01_96,A_01_061
138,G_02_14,A_01_061
139,G_02_7,A_01_061
140,G_02_82,A_01_061
141,G_03_37,A_01_061
142,H_02_26,A_01_061
143,H_02_68,A_01_061
144,J_01_036,A_01_061
145,J_01_041,A_01_061
146,J_02_016,A_01_061
147,J_02_035,A_01_061
148,J_02_042,A_01_061
149,J_02_052,A_01_061
150,J_02_079,A_01_061
151,J_03_071,A_01_061
152,A_01_024,A_01_062
153,A_01_058,A_01_062
154,A_01_061,A_01_062
155,A_03_089,A_01_062
156,B_01_025,A_01_062
157,B_01_029,A_01_062
158,B_01_043,A_01_062
159,B_03_022,A_01_062
160,C_01_017,A_01_062
161,C_01_079,A_01_062
162,C_02_046,A_01_062
163,C_02_064,A_01_062
164,C_02_066,A_01_062
165,C_02_073,A_01_062
166,C_03_014,A_01_062
167,C_03_025,A_01_062
168,D_01_030,A_01_062
169,D_01_062,A_01_062
170,D_01_089,A_01_062
171,D_02_077,A_01_062
172,D_02_084,A_01_062
173,D_03_070,A_01_062
174,D_03_079,A_01_062
175,E_01_75,A_01_062
176,E_02_4,A_01_062
177,E_02_47,A_01_062
178,E_02_8,A_01_062
179,E_03_34,A_01_062
180,E_03_55,A_01_062
181,E_03_58,A_01_062
182,E_03_89,A_01_062
183,F_01_34,A_01_062
184,F_01_88,A_01_062
185,F_01_97,A_01_062
186,F_02_58,A_01_062
187,F_02_83,A_01_062
188,F_03_31,A_01_062
189,F_03_4,A_01_062
190,F_03_61,A_01_062
191,G_01_57,A_01_062
192,G_01_96,A_01_062
193,G_02_14,A_01_062
194,G_02_7,A_01_062
195,G_02_82,A_01_062
196,G_03_37,A_01_062
197,H_02_26,A_01_062
198,H_02_68,A_01_062
199,J_01_036,A_01_062
200,J_01_041,A_01_062
201,J_02_016,A_01_062
202,J_02_035,A_01_062
203,J_02_042,A_01_062
204,J_02_052,A_01_062
205,J_02_079,A_01_062
206,J_03_071,A_01_062
207,A_01_004,A_01_063
208,A_01_031,A_01_063
209,B_01_079,A_01_063
210,B_03_032,A_01_063
211,B_03_067,A_01_063
212,D_01_030,A_01_063
213,D_01_074,A_01_063
214,D_02_052,A_01_063
215,D_03_036,A_01_063
216,D_03_090,A_01_063
217,E_01_27,A_01_063
218,F_01_103,A_01_063
219,F_03_46,A_01_063
220,G_01_53,A_01_063
221,G_03_43,A_01_063
222,A_01_072,A_01_064
223,B_02_005,A_01_064
224,C_02_029,A_01_064
225,D_01_028,A_01_064
226,D_02_036,A_01_064
227,D_03_027,A_01_064
228,D_03_060,A_01_064
229,D_03_082,A_01_064
230,E_01_50,A_01_064
231,E_02_53,A_01_064
232,E_02_92,A_01_064
233,E_03_22,A_01_064
234,F_01_51,A_01_064
235,F_02_48,A_01_064
236,F_02_5,A_01_064
237,F_03_48,A_01_064
238,G_01_69,A_01_064
239,G_03_30,A_01_064
240,G_03_74,A_01_064
241,G_03_90,A_01_064
242,H_02_55,A_01_064
243,H_03_100,A_01_064
244,J_01_087,A_01_064
245,J_01_100,A_01_064
246,J_03_105,A_01_064
247,B_02_023,A_01_065
248,B_02_035,A_01_065
249,B_02_037,A_01_065
250,B_02_044,A_01_065
251,C_01_061,A_01_065
252,D_01_060,A_01_065
253,D_02_060,A_01_065
254,D_02_065,A_01_065
255,E_01_69,A_01_065
256,F_01_35,A_01_065
257,F_02_44,A_01_065
258,F_03_12,A_01_065
259,G_02_97,A_01_065
260,G_03_55,A_01_065
261,H_01_8,A_01_065
262,J_01_066,A_01_065
263,J_02_011,A_01_065
264,D_02_058,A_01_067
265,F_02_65,A_01_067
266,H_01_4,A_01_067
267,H_01_92,A_01_067
268,J_03_078,A_01_067
269,A_01_023,A_01_068
270,A_01_028,A_01_068
271,A_02_053,A_01_068
272,B_01_063,A_01_068
273,D_02_071,A_01_068
274,E_02_95,A_01_068
275,E_03_7,A_01_068
276,F_02_25,A_01_068
277,F_02_30,A_01_068
278,G_01_4,A_01_068
279,H_02_39,A_01_068
280,H_02_62,A_01_068
281,H_02_64,A_01_068
282,H_03_23,A_01_068
283,H_03_37,A_01_068
284,J_02_061,A_01_068
285,J_02_098,A_01_068
286,C_01_041,A_01_069
287,A_01_009,A_01_071
288,B_02_066,A_01_071
289,B_02_074,A_01_071
290,B_03_033,A_01_071
291,C_01_087,A_01_071
292,C_02_078,A_01_071
293,C_02_090,A_01_071
294,C_03_044,A_01_071
295,D_01_023,A_01_071
296,D_02_049,A_01_071
297,D_02_085,A_01_071
298,D_02_087,A_01_071
299,D_02_091,A_01_071
300,D_03_038,A_01_071
301,D_03_061,A_01_071
302,D_03_072,A_01_071
303,E_01_30,A_01_071
304,E_01_72,A_01_071
305,E_01_82,A_01_071
306,E_01_97,A_01_071
307,E_02_16,A_01_071
308,E_02_32,A_01_071
309,E_03_33,A_01_071
310,E_03_68,A_01_071
311,E_03_79,A_01_071
312,E_03_98,A_01_071
313,F_01_26,A_01_071
314,F_02_45,A_01_071
315,F_02_68,A_01_071
316,F_02_87,A_01_071
317,F_02_97,A_01_071
318,F_03_85,A_01_071
319,G_01_2,A_01_071
320,G_01_39,A_01_071
321,G_01_51,A_01_071
322,G_01_60,A_01_071
323,G_02_15,A_01_071
324,G_02_40,A_01_071
325,G_02_43,A_01_071
