Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,NeighborhoodDensity
J_01_098,arms-cross,3.467,6.583,Gesture,0
H_02_048,raise-hand,5.154,,Gesture,0
H_03_086,sigh,3.931,6.375,Gesture,0
C_02_025,1_dollar,3.034,1.074,Noun,9
B_01_062,5_dollars,5.12,5.481,Noun,8
C_02_055,8_hour,4.267,2.654,Number,4
C_02_080,9_oclock,4.133,2.741,Number,0
K_03_127,a-line_bob,4.273,3.769,Noun,3
H_03_025,a_little_bit,2.963,2.833,Adjective,1
G_01_040,abbreviate,5.444,2.286,Verb,17
B_02_072,about_1,5.48,2.067,Minor,4
B_02_003,about_2,3.5220000000000002,2.133,Minor,4
J_01_027,absolutely_nothing,2.957,1.5,Number,9
E_01_073,accent,3.094,2.48,Noun,1
H_02_042,accept,5.5,2.739,Verb,4
H_02_086,access,5.036,2.565,Noun,28
B_02_059,accident,4.12,3.3,Verb,21
C_02_085,accomplish,4.467,1.963,Verb,31
F_02_048,accordion,1.737,6.065,Noun,38
A_03_044,accountant,3.24,2.476,Noun,7
H_01_034,acquire,5.25,2.35,Verb,4
B_02_038,act,4.28,1.6,Verb,5
C_01_026,action,4.533,2.2,Noun,0
A_03_047,actor,4.44,1.524,Noun,5
E_02_030,add,5.188,3.097,Verb,0
H_02_073,addict,4.25,2.391,Noun,9
D_01_016,address,4.889,1.486,Noun,13
J_03_049,admire,4.483,1.6520000000000001,Verb,0
J_02_062,admit,4.633,3.84,Verb,3
J_03_014,adopt,4.414,1.435,Verb,8
C_03_008,adult,4.6,2.229,Noun,0
H_03_059,advantage,4.714,1.375,Adjective,10
J_03_015,advertise,4.207,1.913,Verb,17
A_02_082,africa,3.667,2.1,Noun,5
B_02_030,after,3.88,3.2,Minor,19
J_01_040,afternoon,5.8,1.458,Noun,2
J_02_013,again,6.067,2.04,Verb,7
H_03_003,against,4.429,3.75,Adjective,28
B_02_071,age,5.4,1.7000000000000002,Noun,17
H_01_044,agency,4.0,2.2,Noun,5
C_02_078,agreement,5.033,3.148,Noun,62
D_03_068,airplane,4.808,1.7730000000000001,Noun,1
C_01_085,alarm,4.4,1.667,Noun,30
H_02_087,alaska,2.556,1.174,Name,6
E_03_012,alcohol,5.333,2.171,Noun,0
H_02_022,align,4.75,1.913,Verb,33
C_03_088,all,5.3,2.8,Minor,4
H_02_093,all_day,5.464,3.304,Adverb,25
J_03_021,all_gone,4.69,2.739,Adverb,14
H_01_096,all_of_sudden,4.37,4.8,Adverb,3
J_02_064,all_over,4.433,4.64,Adverb,13
H_03_078,all_over_body,3.407,6.208,Minor,21
J_01_044,all_together,4.567,4.0,Adverb,17
H_01_084,all_way,4.083,4.0,Adverb,13
D_02_024,alone,3.963,2.161,Adjective,19
B_02_024,alphabet,3.88,2.633,Noun,10
J_03_025,alright,5.31,1.87,Adjective,19
J_03_076,always,6.103,3.13,Adverb,19
D_02_093,amazing,4.7780000000000005,3.097,Adjective,17
C_02_006,america,4.5,1.593,Name,5
G_02_075,analyze,5.259,2.258,Verb,5
B_03_072,and,5.208,1.5670000000000002,Minor,8
A_03_085,angel,3.167,4.667,Noun,12
B_01_070,angry,4.96,2.741,Adjective,9
B_03_002,animal,5.4,1.6,Noun,7
C_01_086,announce,4.6,4.2,Verb,11
E_03_065,answer,5.067,3.441,Verb,31
F_01_027,antlers,3.5380000000000003,6.032,Noun,5
G_01_016,any,5.259,1.857,Minor,5
H_01_059,anyone,4.214,2.0,Minor,5
E_02_033,apart,4.719,5.194,Adjective,41
C_03_064,appear,4.9,2.3609999999999998,Verb,30
A_03_054,apple,5.72,1.619,Noun,2
C_01_088,appointment,5.033,1.767,Noun,0
H_02_070,april,3.786,1.2610000000000001,Name,19
G_03_060,archeology,2.333,2.8,Noun,0
H_02_015,area,5.071,2.783,Noun,0
F_03_072,argue,5.222,3.469,Verb,19
J_03_022,arizona,3.552,1.13,Name,6
C_03_043,arm,2.9,6.514,Noun,1
K_01_095,arm_2,3.2,5.96,Noun,3
K_02_002,arm_3,3.0,6.292,Noun,1
B_01_059,army,3.76,3.037,Noun,13
H_03_074,arrest_1,2.963,5.917,Verb,19
K_01_023,arrest_2,4.889,1.92,Verb,9
K_03_036,arrest_3,3.76,5.16,Verb,0
D_01_073,arrive,5.333,2.324,Verb,4
C_01_075,art,4.767,3.067,Noun,1
J_02_041,article,4.633,3.2,Noun,1
J_01_014,articulate_sign,4.833,2.792,Verb,21
A_01_078,asia,4.516,1.73,Noun,5
B_02_023,ask,5.24,2.133,Verb,11
J_03_096,assembly,2.643,1.435,Verb,13
H_02_036,assign,3.25,3.174,Verb,0
J_03_093,assist,4.793,1.6960000000000002,Verb,24
F_03_076,assistant,4.7780000000000005,1.8130000000000002,Noun,24
F_02_013,astronaut,2.407,1.226,Noun,2
J_01_055,at,2.643,1.875,Minor,12
J_03_068,athlete,3.586,1.2610000000000001,Noun,19
K_03_107,atlanta,4.458,1.2,Name,5
A_03_089,attention,5.8,4.8100000000000005,Noun,15
J_03_091,attitude,4.345,1.609,Noun,5
F_01_072,audience,4.538,2.161,Noun,13
F_02_021,auditorium,4.185,1.839,Noun,17
E_02_027,aunt,3.625,2.065,Noun,13
J_03_035,australia,3.069,1.174,Name,19
F_03_011,autism_1,3.481,2.063,Noun,15
K_01_040,autism_2,4.704,1.56,Noun,1
J_01_048,automatic,4.067,1.5,Adjective,0
G_03_050,average,5.154,2.75,Adjective,28
E_01_040,avoid,5.314,2.32,Verb,24
G_01_078,awake,5.259,4.393,Adjective,14
K_01_114,award,5.222,2.4,Verb,6
F_02_071,away,4.481,5.742,Minor,10
B_01_022,awkward,4.2,2.5380000000000003,Noun,2
F_01_013,axe_1,2.741,4.065,Noun,2
G_03_066,axe_2,1.76,5.2,Verb,3
C_01_017,baby,5.0,6.833,Noun,41
K_01_042,baby_2,3.455,2.6,Noun,12
F_03_061,babysitter,3.963,4.875,Noun,41
E_01_059,bachelor,4.147,1.56,Noun,14
D_03_029,back,4.731,5.458,Adverb,13
F_01_041,back_out,4.259,3.742,Verb,2
G_01_102,back_up,4.148,4.321,Verb,1
G_03_091,backpack_1,3.2800000000000002,3.65,Noun,0
G_01_064,backpack_2,3.44,3.821,Noun,5
F_03_003,backyard,3.37,3.469,Noun,13
A_03_073,bacon,5.0,3.3810000000000002,Noun,2
B_02_082,bad,5.5,1.5670000000000002,Adjective,14
F_03_096,badge,2.25,6.063,Noun,4
A_01_064,bag,5.452,5.73,Noun,38
K_02_015,bag_2,3.211,1.5,Noun,0
A_01_060,bake_1,4.333,1.919,Verb,8
B_01_051,bake_2,5.12,2.259,Verb,28
C_02_046,balance,4.067,5.63,Noun,19
F_02_100,bald,3.593,4.161,Adjective,0
C_02_044,ball,4.633,5.37,Noun,33
A_02_086,balloon,2.852,4.967,Noun,15
A_03_002,banana,3.875,5.381,Noun,1
K_02_097,banana_2,4.32,2.458,Noun,9
K_03_014,banana_3,1.538,2.2,Noun,1
K_01_061,banana_4,4.615,3.4,Noun,8
F_02_020,band_aid_1,2.864,4.097,Noun,5
H_01_088,band_aid_2,3.893,4.1,Noun,12
F_03_020,bandage,3.0,5.281,Noun,0
D_02_032,bank,4.741,1.161,Noun,0
A_03_072,bar,4.087,2.19,Noun,12
H_03_037,barely,4.821,1.792,Adverb,14
J_02_051,bark_1,3.448,2.64,Verb,2
K_01_074,bark_2,5.222,3.96,Verb,1
K_02_096,bark_3,3.087,4.333,Verb,17
G_01_101,barrette,2.577,4.643,Noun,4
A_03_043,baseball,4.12,6.571,Noun,38
G_02_072,baseball_cap,4.48,5.516,Noun,17
C_01_034,basement,2.867,3.167,Noun,3
E_01_101,basic,4.771,1.8399999999999999,Adjective,4
G_03_070,basket_1,2.833,1.9,Noun,0
E_01_060,basket_2,4.471,4.16,Noun,17
A_03_045,basketball,5.04,3.3810000000000002,Noun,10
H_02_004,basketball_2,2.429,5.304,Noun,8
K_01_013,basketball_3,4.963,1.92,Noun,0
F_03_043,bat_1,2.435,3.625,Noun,1
E_01_021,bat_2,4.629,6.6,Noun,38
F_02_028,bat_3,3.731,7.065,Verb,21
B_01_019,bath,4.92,2.0,Noun,13
A_02_051,bathroom,6.556,1.3,Noun,3
K_02_101,bathtub,3.955,2.292,Noun,5
D_02_089,battery,5.148,1.8,Noun,8
G_02_029,beach,3.846,3.452,Noun,1
G_03_048,beak,1.842,4.95,Noun,1
E_03_091,beanie,3.115,5.647,Noun,0
E_02_069,beans,2.806,2.452,Noun,8
D_03_063,bear,3.115,3.0,Noun,9
C_03_085,beard,3.3,6.139,Noun,6
D_03_020,beat,3.24,1.625,Verb,10
F_02_067,beaver,4.84,2.613,Noun,2
B_01_049,because,4.24,1.296,Minor,14
H_02_008,become,4.357,2.261,Verb,25
A_03_037,bed,6.12,6.095,Noun,15
K_03_004,bed_2,6.28,5.962,Noun,15
D_01_056,bedroom,4.444,4.0,Noun,8
E_03_018,bee_1,3.4,2.371,Noun,8
J_02_101,bee_2,3.821,2.08,Noun,8
B_03_062,beer,4.76,1.333,Noun,8
G_02_053,before,4.667,4.3870000000000005,Minor,7
F_02_037,beg,3.815,3.097,Verb,3
C_02_036,behavior,3.741,1.4809999999999999,Noun,8
B_02_048,behind,4.2,2.633,Minor,12
D_02_049,believe,5.37,2.355,Verb,62
G_02_011,believe_2,5.926,5.0,Verb,6
G_02_018,bell,2.833,3.968,Noun,0
A_03_036,belt,2.13,6.524,Noun,0
E_02_093,belt_2,3.688,4.419,Verb,1
G_03_031,bend,3.2800000000000002,6.25,Verb,1
C_02_056,benefit,3.0,1.645,Noun,7
E_01_095,berry,3.6,2.08,Noun,0
F_02_062,best,5.926,2.839,Adjective,14
F_02_027,bet,4.385,2.935,Verb,8
F_01_062,better,6.37,1.968,Adjective,14
J_03_003,between,4.448,3.304,Adjective,28
E_02_103,bib,3.563,4.9350000000000005,Noun,6
D_02_026,bicycle,5.185,5.484,Noun,8
