Code,MajorLocation,SignType,Movement,ThumbPosition
C_02_025,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_01_062,Neutral,OneHanded,None,Open
C_02_055,Hand,AsymmetricalDifferentHandshape,Circular,Open
C_02_080,Arm,OneHanded,Straight,Closed
K_03_127,Head,SymmetricalOrAlternating,Curved,Open
H_03_25,Neutral,OneHanded,None,Closed
G_01_40,Hand,AsymmetricalSameHandshape,Straight,Closed
B_02_072,Hand,AsymmetricalSameHandshape,Circular,Closed
B_02_003,Hand,AsymmetricalDifferentHandshape,Circular,Closed
J_01_027,Head,OneHanded,None,Open
E_01_73,Body,OneHanded,None,Closed
H_02_42,Body,SymmetricalOrAlternating,Straight,Open
H_02_86,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_02_059,Neutral,SymmetricalOrAlternating,Straight,Open
C_02_085,Head,SymmetricalOrAlternating,Straight,Closed
F_02_48,Neutral,SymmetricalOrAlternating,Straight,Closed
A_03_044,Hand,AsymmetricalDifferentHandshape,Straight,Open
H_01_34,Neutral,SymmetricalOrAlternating,Straight,Open
B_02_038,Body,SymmetricalOrAlternating,Circular,Open
C_01_026,Neutral,SymmetricalOrAlternating,Circular,Open
A_03_047,Body,SymmetricalOrAlternating,Circular,Open
E_02_30,Hand,AsymmetricalSameHandshape,Curved,Open
H_02_73,Head,OneHanded,Straight,Closed
D_01_016,Body,SymmetricalOrAlternating,Straight,Open
J_03_049,Neutral,SymmetricalOrAlternating,Curved,Closed
J_02_062,Body,OneHanded,Curved,Open
J_03_014,Neutral,SymmetricalOrAlternating,Straight,Open
C_03_008,Head,SymmetricalOrAlternating,Circular,Open
H_03_59,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_03_015,Hand,AsymmetricalSameHandshape,Straight,Closed
A_02_082,Neutral,OneHanded,Curved,Open
B_02_030,Hand,AsymmetricalSameHandshape,Curved,Open
J_01_040,Neutral,OneHanded,None,Closed
J_02_013,Hand,AsymmetricalSameHandshape,Curved,Open
H_03_3,Hand,AsymmetricalSameHandshape,Straight,Open
B_02_071,Head,OneHanded,Straight,Open
H_01_44,Neutral,SymmetricalOrAlternating,Curved,Open
C_02_078,Head,OneHanded,None,Closed
D_03_068,Neutral,OneHanded,Straight,Open
C_01_085,Hand,AsymmetricalDifferentHandshape,Straight,Open
H_02_87,Head,OneHanded,Curved,Open
E_03_12,Hand,AsymmetricalSameHandshape,Straight,Closed
H_02_22,Neutral,SymmetricalOrAlternating,Straight,Open
C_03_088,Hand,AsymmetricalSameHandshape,Circular,Open
H_02_93,Neutral,OneHanded,Curved,Open
J_03_021,Head,OneHanded,Curved,Open
H_01_96,Neutral,OneHanded,None,Open
J_02_064,Neutral,OneHanded,Curved,Open
H_03_78,Neutral,SymmetricalOrAlternating,Straight,Open
J_01_044,Neutral,SymmetricalOrAlternating,Curved,Open
H_01_84,Neutral,OneHanded,Curved,Open
G_03_72,Neutral,SymmetricalOrAlternating,Straight,Closed
D_02_024,Neutral,OneHanded,Circular,Closed
H_01_1,Body,OneHanded,Circular,Closed
B_02_024,Neutral,OneHanded,None,Open
J_03_025,Hand,AsymmetricalSameHandshape,None,Open
J_03_076,Neutral,OneHanded,Circular,Closed
D_02_093,Head,OneHanded,Straight,Open
C_02_006,Neutral,SymmetricalOrAlternating,Circular,Open
G_02_75,Neutral,SymmetricalOrAlternating,Curved,Closed
B_03_072,Neutral,OneHanded,Straight,Open
A_03_085,Body,SymmetricalOrAlternating,Straight,Open
B_01_070,Body,SymmetricalOrAlternating,Curved,Open
B_03_002,Body,SymmetricalOrAlternating,Straight,Open
C_01_086,Head,SymmetricalOrAlternating,Curved,Closed
E_03_65,Head,SymmetricalOrAlternating,Straight,Closed
F_01_27,Head,SymmetricalOrAlternating,Curved,Open
G_01_16,Neutral,OneHanded,Curved,Open
H_01_59,Neutral,OneHanded,Curved,Open
E_02_33,Neutral,SymmetricalOrAlternating,Straight,Open
C_03_064,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_03_054,Head,OneHanded,None,Closed
C_01_088,Hand,AsymmetricalSameHandshape,Circular,Open
H_02_70,Neutral,OneHanded,Straight,Open
