SignFrequency(M),Iconicity(M),LexicalClass,SignType
3.467,6.520,0,0
3.867,6.667,0,0
2.280,0,0,0
5.154,6.375,0,0
3.034,1.074,3,2
5.120,5.481,3,3
4.267,2.654,4,2
4.133,2.741,4,3
0,0,0,4
2.963,2.833,7,3
5.444,1.889,5,6
5.480,2.067,1,6
3.522,2.133,1,2
2.957,1.600,0,3
3.094,1.917,3,3
5.500,2.739,5,4
5.036,2.565,3,2
4.120,3.300,5,4
4.467,1.963,5,4
1.737,6.065,3,4
3.240,2.476,3,2
5.250,2.296,5,4
4.280,1.600,5,4
4.533,2.200,3,4
4.440,1.524,3,4
5.188,2.900,5,6
4.250,2.391,6,3
4.889,1.486,3,4
4.483,1.636,0,4
4.633,3.792,0,3
4.414,1.455,0,4
4.600,2.229,3,4
4.714,1.375,5,2
4.207,1.955,0,6
3.667,2.100,3,3
3.880,3.200,1,6
5.800,1.560,0,3
6.067,2.000,0,6
4.429,3.750,5,6
5.400,1.700,3,3
4.000,2.036,3,4
5.033,3.148,3,3
4.808,1.773,3,3
4.400,1.667,3,2
2.556,1.174,2,3
5.333,1.531,3,6
4.750,1.913,5,4
5.300,2.800,1,6
5.464,3.304,7,3
4.690,2.682,0,3
4.370,4.800,7,3
4.433,4.583,0,3
3.407,6.208,7,4
4.567,4.000,0,4
4.083,3.792,7,3
2.067,1.550,3,4
3.963,2.161,6,3
4.429,3.560,7,3
3.880,2.633,3,3
5.310,1.909,0,6
6.103,3.227,0,3
4.778,3.097,6,3
4.500,1.593,2,4
5.259,2.129,5,4
5.208,1.567,1,3
3.167,4.667,3,4
4.960,2.741,6,4
5.400,1.600,3,4
4.600,4.200,5,4
5.067,2.700,5,4
3.538,6.030,3,4
5.259,1.867,1,3
4.214,2.037,1,3
4.719,5.067,6,4
4.900,2.361,5,2
5.720,1.619,3,3
5.033,1.767,3,6
3.786,1.261,2,3
2.333,2.476,3,2
5.071,2.783,3,2
5.222,3.469,5,4
3.552,1.136,0,3
2.900,6.514,3,3
0,0,0,3
0,0,0,3
3.760,3.037,3,4
2.963,5.917,5,4
0,0,0,4
0,0,0,3
5.333,2.324,5,6
4.767,3.067,3,2
4.633,3.125,0,2
4.833,2.840,0,4
4.516,1.730,3,3
5.240,2.133,5,3
2.643,1.455,0,3
3.250,3.174,5,3
4.793,1.727,0,6
4.778,1.813,3,6
2.407,1.226,3,2
2.643,2.040,0,6
3.586,1.273,0,3
0,0,0,3
5.800,4.810,3,4
4.345,1.636,0,3
4.538,2.156,3,4
4.185,1.839,3,4
3.625,1.833,3,3
3.069,1.182,0,4
3.481,1.970,3,4
0,0,0,2
4.067,1.680,0,2
5.154,2.300,6,6
5.314,2.000,5,6
5.259,4.300,6,4
0,0,0,4
4.481,5.742,1,3
4.200,2.538,3,4
2.741,4.063,3,3
1.760,5.050,5,3
5.000,6.833,3,4
0,0,0,3
3.963,4.656,3,4
4.147,1.240,3,3
4.731,5.458,7,3
4.259,3.636,5,2
3.280,3.545,3,4
3.440,3.710,3,4
3.370,3.333,3,3
5.000,3.381,3,4
5.500,1.567,6,3
2.250,6.063,3,4
5.452,5.730,3,3
0,0,0,3
4.333,1.919,5,6
5.120,2.259,5,6
4.067,5.630,3,4
3.593,4.161,6,3
4.633,5.370,3,4
2.852,4.967,3,4
3.875,5.381,3,2
