EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
&=arms-cross,3.467,6.520,0,0
&=clap,3.867,6.667,0,0
&=sigh,5.154,6.375,0,0
1_dollar,3.034,1.074,6,3
5_dollars,5.120,5.481,6,2
8_hour,4.267,2.654,1,3
9_oclock,4.133,2.741,1,2
a_little_bit,2.963,2.833,3,2
abbreviate(short),5.444,1.889,7,1
about_1,5.480,2.067,5,1
about_2,3.522,2.133,5,3
absolutely_nothing,2.957,1.600,0,2
accent,3.094,1.917,6,2
accept,5.500,2.739,7,5
access,5.036,2.565,6,3
accident,4.120,3.300,7,5
accomplish,4.467,1.963,7,5
accordion,1.737,6.065,6,5
accountant,3.240,2.476,6,3
acquire,5.250,2.296,7,5
act,4.280,1.600,7,5
action,4.533,2.200,6,5
actor,4.440,1.524,6,5
add,5.188,2.900,7,1
addict,4.250,2.391,2,2
address,4.889,1.486,6,5
admire,4.483,1.636,0,5
admit,4.633,3.792,0,2
adopt,4.414,1.455,0,5
adult,4.600,2.229,6,5
advantage,4.714,1.375,7,3
advertise,4.207,1.955,0,1
africa,3.667,2.100,6,2
after,3.880,3.200,5,1
afternoon,5.800,1.560,0,2
again,6.067,2.000,0,1
against,4.429,3.750,7,1
age,5.400,1.700,6,2
agency,4.000,2.036,6,5
agreement,5.033,3.148,6,2
airplane,4.808,1.773,6,2
alarm,4.400,1.667,6,3
alaska,2.556,1.174,4,2
alcohol,5.333,1.531,6,1
align,4.750,1.913,7,5
all,5.300,2.800,5,1
all_day,5.464,3.304,3,2
all_gone,4.690,2.682,0,2
all_of_sudden,4.370,4.800,3,2
all_over,4.433,4.583,0,2
all_over_body,3.407,6.208,3,5
all_together,4.567,4.000,0,5
all_way,4.083,3.792,3,2
allergy,2.067,1.550,6,5
alone,3.963,2.161,2,2
alone_2,4.429,3.560,3,2
alphabet,3.880,2.633,6,2
alright,5.310,1.909,0,1
always,6.103,3.227,0,2
amazing,4.778,3.097,2,2
america,4.500,1.593,4,5
analyze,5.259,2.129,7,5
and,5.208,1.567,5,2
angel,3.167,4.667,6,5
angry,4.960,2.741,2,5
animal,5.400,1.600,6,5
announce,4.600,4.200,7,5
answer,5.067,2.700,7,5
antlers,3.538,6.030,6,5
any,5.259,1.867,5,2
anyone,4.214,2.037,5,2
apart,4.719,5.067,2,5
appear,4.900,2.361,7,3
apple,5.720,1.619,6,2
appointment,5.033,1.767,6,1
april,3.786,1.261,4,2
archeology,2.333,2.476,6,3
area,5.071,2.783,6,3
argue,5.222,3.469,7,5
arizona,3.552,1.136,0,2
arm,2.900,6.514,6,2
army,3.760,3.037,6,5
arrest_1,2.963,5.917,7,5
arrive,5.333,2.324,7,1
art,4.767,3.067,6,3
article,4.633,3.125,0,3
articulate_sign,4.833,2.840,0,5
asia,4.516,1.730,6,2
ask,5.240,2.133,7,2
assembly,2.643,1.455,0,2
assign,3.250,3.174,7,2
assist,4.793,1.727,0,1
assistant,4.778,1.813,6,1
astronaut,2.407,1.226,6,3
at,2.643,2.040,0,1
athlete,3.586,1.273,0,2
attention,5.800,4.810,6,5
attitude,4.345,1.636,0,2
audience,4.538,2.156,6,5
auditorium,4.185,1.839,6,5
aunt,3.625,1.833,6,2
australia,3.069,1.182,0,5
autism,3.481,1.970,6,5
automatic,4.067,1.680,0,3
average,5.154,2.300,2,1
avoid,5.314,2.000,7,1
awake,5.259,4.300,2,5
away,4.481,5.742,5,2
awkward,4.200,2.538,6,5
axe_1,2.741,4.063,6,2
axe_2,1.760,5.050,7,2
baby,5.000,6.833,6,5
babysitter,3.963,4.656,6,5
